Repo,Link,Archived,Creation Date,First Activity Date,Last Activity Date,Topics,#Star,#Watch,#Fork,#Releases,#Contributors,Language,Size,#Issues,#Pull Requests,#Branches,#Commits,#Comments,#Deployments
aws/sagemaker-scikit-learn-extension,https://github.com/aws/sagemaker-scikit-learn-extension,False,2019-07-15 18:30:19,2019-11-27 16:19:40,2022-02-17 19:58:22,[],35,23,30,11,9,Python,2268,42,34,3,59,0,0
aws-samples/aws-rosettafold,https://github.com/aws-samples/aws-rosettafold,False,2021-12-15 16:52:01,2021-11-11 19:12:30,2022-02-24 15:23:04,"['rosettafold', 'alphafold2', 'deep-learning', 'aws', 'aws-batch', 'protein-folding', 'hpc']",20,4,2,0,1,Python,27237,0,0,1,127,0,0
uwacsp/cits5503,https://github.com/uwacsp/cits5503,False,2018-04-02 08:32:01,2018-04-02 08:32:02,2021-10-16 02:56:35,[],48,16,99,0,11,Shell,65327,12,11,1,255,0,0
IBM/watson-openscale-samples,https://github.com/IBM/watson-openscale-samples,False,2020-10-21 21:34:36,2020-10-21 21:34:39,2022-11-14 15:04:15,[],18,5,41,0,14,Jupyter Notebook,36311,56,55,7,157,0,0
jihys/startup-sagemaker-workshop,https://github.com/jihys/startup-sagemaker-workshop,False,2020-09-05 13:59:24,2020-09-10 15:02:31,2020-12-08 07:47:57,[],7,2,1,0,0,Jupyter Notebook,6249,0,0,1,10,0,0
werowe/MLexamples,https://github.com/werowe/MLexamples,False,2018-03-28 14:28:11,2018-03-28 14:28:12,2018-04-07 14:54:13,[],6,3,15,0,1,Jupyter Notebook,26,1,0,1,4,0,0
marshmellow77/gptj-playground,https://github.com/marshmellow77/gptj-playground,False,2022-03-26 08:50:09,2022-03-26 08:50:10,2022-03-26 08:58:28,[],14,1,3,0,1,Jupyter Notebook,9,0,0,2,2,0,0
tmastny/sagemaker,https://github.com/tmastny/sagemaker,False,2019-11-10 15:38:39,2019-11-10 16:00:16,2020-07-10 00:52:23,[],6,4,0,0,1,R,971,7,1,2,143,0,31
aws-samples/aws-ml-jp,https://github.com/aws-samples/aws-ml-jp,False,2021-07-15 16:59:36,2021-07-15 16:59:37,2022-10-27 07:50:27,[],23,9,15,0,9,Jupyter Notebook,72992,10,8,1,67,0,0
abiodunjames/MachineLearning,https://github.com/abiodunjames/MachineLearning,False,2020-03-13 00:38:45,2020-03-13 00:42:50,2020-03-20 23:36:10,[],6,1,5,0,1,Jupyter Notebook,543,2,0,1,6,0,0
spturner/sagemaker-gluon-labs,https://github.com/spturner/sagemaker-gluon-labs,False,2018-10-18 14:38:35,2018-10-18 14:34:48,2018-10-29 07:17:05,[],5,1,0,0,1,Jupyter Notebook,45556,0,0,1,5,0,0
mahendrabairagi/DeeplensWorkshop,https://github.com/mahendrabairagi/DeeplensWorkshop,False,2018-06-12 20:12:59,2018-03-27 07:06:07,2019-03-16 04:28:25,[],78,11,67,0,2,Python,30661,9,0,1,254,0,0
awslabs/aws-orbit-workbench,https://github.com/awslabs/aws-orbit-workbench,False,2020-10-08 18:49:35,2020-10-08 23:10:23,2022-09-19 13:26:06,"['kubernetes', 'eks', 'jupyter', 'jupyterhub', 'data-analysis', 'datalake', 'mach', 'orbit-workbench', 'gpu', 'eks-cluster', 'aws', 'dataengineering', 'redshift', 'analytics', 'workbench']",119,13,23,24,11,Python,56465,1353,948,36,861,0,110
edenduthie/auto-labelling-model-tuning-amazon-sagemaker,https://github.com/edenduthie/auto-labelling-model-tuning-amazon-sagemaker,False,2019-04-23 06:19:56,2019-04-23 06:19:57,2019-06-10 03:03:33,[],12,2,8,0,2,Jupyter Notebook,11718,0,0,1,24,0,0
shashankprasanna/sagemaker-rapids,https://github.com/shashankprasanna/sagemaker-rapids,False,2019-11-12 10:56:26,2019-11-12 10:56:27,2020-02-10 11:32:43,[],7,3,3,0,1,Jupyter Notebook,18,1,0,1,6,0,0
aws-deepracer-community/deepracer-core,https://github.com/aws-deepracer-community/deepracer-core,False,2019-04-07 00:07:21,2019-04-07 00:07:22,2022-04-03 18:23:44,[],234,16,104,2,10,Python,138482,108,35,2,357,1,0
AIdeaLab/wav2vec2_docker,https://github.com/AIdeaLab/wav2vec2_docker,False,2021-03-22 07:00:55,2021-03-22 07:00:45,2021-03-22 08:38:21,[],6,4,3,0,1,Jupyter Notebook,24,0,0,2,5,0,0
Hironsan/wiki-article-dataset,https://github.com/Hironsan/wiki-article-dataset,False,2019-05-06 10:12:18,2019-05-06 10:12:26,2019-05-10 03:53:56,"['machine-learning', 'natural-language-processing', 'dataset']",10,2,1,0,1,Jupyter Notebook,54,0,0,1,7,0,0
aws-samples/amazon-sagemaker-anomaly-detection-with-rcf-and-deepar,https://github.com/aws-samples/amazon-sagemaker-anomaly-detection-with-rcf-and-deepar,False,2021-01-30 00:57:16,2021-01-30 00:57:19,2021-02-05 03:17:46,[],10,5,6,0,2,Jupyter Notebook,8032,1,0,1,2,0,0
awslabs/kubeflow-manifests,https://github.com/awslabs/kubeflow-manifests,False,2021-09-24 23:35:15,2021-09-24 23:35:17,2022-11-14 18:16:52,"['kubeflow', 'eks', 'kubernetes', 'aws', 'data-science', 'mlops']",85,8,56,7,19,YAML,53884,507,381,15,236,11,827
aws-neuron/aws-neuron-sdk,https://github.com/aws-neuron/aws-neuron-sdk,False,2019-11-06 02:12:59,2019-12-03 01:15:40,2022-11-16 04:21:15,[],257,42,98,39,50,Python,24883,597,132,9,764,0,0
aws-samples/algorithmic-trading,https://github.com/aws-samples/algorithmic-trading,False,2020-01-28 00:35:56,2020-01-28 00:35:57,2022-08-16 14:44:16,[],148,11,59,0,4,Jupyter Notebook,2996,12,9,2,54,0,0
aws-samples/aws-deeplens-recipes,https://github.com/aws-samples/aws-deeplens-recipes,False,2020-03-04 19:27:32,2020-03-04 19:27:33,2021-03-19 16:43:21,[],6,3,6,0,4,Jupyter Notebook,28306,6,5,1,20,0,0
mlcommons/dynabench,https://github.com/mlcommons/dynabench,False,2022-05-11 16:11:33,2021-09-22 03:59:31,2022-11-09 23:24:12,[],7,3,7,0,20,Python,35923,130,94,133,279,0,0
awslabs/aws-fleet-predictive-maintenance,https://github.com/awslabs/aws-fleet-predictive-maintenance,False,2020-07-07 19:21:08,2020-07-07 19:21:10,2022-09-14 18:07:19,"['predictive', 'maintenance', 'vehicles', 'fleets', 'predictive-maintenance', 'deep-learning', 'sagemaker', 'sagemaker-example', 'aws-sagemaker', 'automobile']",47,10,23,0,6,Jupyter Notebook,919,1,1,3,25,0,0
aws-samples/amazon-sagemaker-tensorflow-serving-grpc,https://github.com/aws-samples/amazon-sagemaker-tensorflow-serving-grpc,False,2021-05-11 13:38:32,2021-05-11 13:38:34,2022-03-25 09:46:04,[],7,2,2,0,3,Jupyter Notebook,2769,4,4,1,17,0,0
