Repo,Link,Archived,Creation Date,First Activity Date,Last Activity Date,Topics,#Star,#Watch,#Fork,#Releases,#Contributors,Language,Size,#Issues,#Pull Requests,#Branches,#Commits,#Comments,#Deployments
okojoalg/raft-mlp,https://github.com/okojoalg/raft-mlp,False,2021-07-28 09:18:26,2021-06-14 14:35:11,2021-11-23 07:45:46,[],20,2,4,0,1,Python,129,2,1,2,4,0,0
megvii-research/basecls,https://github.com/megvii-research/basecls,False,2021-09-16 09:02:34,2021-09-28 05:30:54,2022-04-02 09:19:29,"['megengine', 'classification', 'pretrained-models', 'imagenet-classifier', 'distributed-training']",26,5,2,0,3,Python,993,14,14,6,12,0,0
xuarehere/yolovx_deepsort_pytorch,https://github.com/xuarehere/yolovx_deepsort_pytorch,False,2022-07-13 10:47:41,2022-07-13 11:03:05,2022-09-01 15:37:58,"['cnn-model', 'pytorch', 'sort', 'yolo', 'yolov3', 'yolov4', 'yolov4-deepsort', 'yolov5', 'yolov5-deepsort', 'yolov5-deepsort-pytorch', 'yolov6', 'yolov7', 'yolov6-deepsort', 'yolov7-deepsort', 'deepsort', 'deep-sort', 'deep-sort-tracking', 'mot-tracking', 'object-tracking', 'mot']",25,2,9,0,1,Python,30619,9,0,1,19,0,0
fengbingchun/PyTorch_Test,https://github.com/fengbingchun/PyTorch_Test,False,2019-01-24 09:24:59,2019-01-24 09:25:00,2022-09-25 07:50:54,[],11,1,4,0,2,C++,264586,8,7,1,35,0,0
RootKit-Org/AI-Aimbot,https://github.com/RootKit-Org/AI-Aimbot,False,2022-01-09 03:29:32,2022-01-09 03:29:18,2022-11-04 19:07:27,"['machine-learning', 'aimbot', 'aimbotcsgo', 'video-game-ai', 'aimbot-valorant', 'aimbot-tarkov', 'ai-aimbot', 'ml-aimbot']",87,7,32,6,4,Python,29050,44,10,2,51,0,0
fcakyon/yolov5-pip,https://github.com/fcakyon/yolov5-pip,False,2021-02-10 11:36:41,2021-02-10 11:36:41,2022-10-27 19:00:03,"['yolo', 'yolov5', 'object-detection', 'pytorch', 'python', 'pip', 'ultralytics', 'yolov3', 'yolov4', 'machine-learning', 'deep-learning', 'computer-vision', 'aws', 'coco', 'neptune', 'neptune-ai', 's3', 'pypi', 'cli']",201,2,46,39,6,Python,1480,99,99,2,206,0,0
sigal-raab/MoDi,https://github.com/sigal-raab/MoDi,False,2022-06-07 07:41:21,2022-06-07 07:41:22,2022-11-15 13:28:37,[],23,1,1,0,2,Python,9768,0,0,1,49,0,0
megvii-research/zipfls,https://github.com/megvii-research/zipfls,False,2022-07-19 13:17:30,2022-07-18 07:48:39,2022-10-19 06:39:00,"['knowledge-distillation', 'zipfs-law']",20,2,1,0,2,Python,2402,0,0,1,20,0,0
ai-in-motion/moai,https://github.com/ai-in-motion/moai,False,2021-01-27 14:49:59,2021-01-22 09:30:08,2022-11-15 17:25:14,"['pytorch', 'mdk', 'deep-learning', 'cnn', 'computer-vision', 'human-pose-estimation', 'object-pose-estimation', 'vae', 'vae-pytorch', 'depth-estimation', 'reproducible-research', 'reproducibility', 'data-driven', 'artificial-intelligence', 'neural-network', 'convolutional-neural-networks', 'experimentation', 'hydra']",33,6,5,0,8,Python,6620,1,0,1,254,0,0
pytorch/ignite,https://github.com/pytorch/ignite,False,2017-11-23 17:31:21,2017-11-24 10:54:39,2022-11-17 21:32:49,"['pytorch', 'neural-network', 'python', 'machine-learning', 'deep-learning', 'metrics', 'hacktoberfest', 'closember']",4117,60,559,18,170,Python,51210,2750,1621,22,1488,16,1282
