Repo,Link,Archived,Creation Date,First Activity Date,Last Activity Date,Topics,#Star,#Watch,#Fork,#Releases,#Contributors,Language,Size,#Issues,#Pull Requests,#Branches,#Commits,#Comments,#Deployments
saeyslab/DeepLearning_for_ImagingFlowCytometry,https://github.com/saeyslab/DeepLearning_for_ImagingFlowCytometry,False,2019-05-14 13:12:46,2019-02-18 18:21:29,2020-10-05 12:09:17,"['deep-learning', 'imaging-flow-cytometry', 'keras-tensorflow', 'image-classification']",9,3,3,0,1,Python,126578,20,19,11,189,0,0
dpribula/Diploma,https://github.com/dpribula/Diploma,False,2018-02-19 18:32:36,2018-02-19 18:34:14,2018-12-11 22:34:43,[],5,3,2,0,1,Jupyter Notebook,11609,1,0,1,35,0,0
IsakZhang/XABSA,https://github.com/IsakZhang/XABSA,False,2021-11-22 11:51:06,2021-11-22 11:51:23,2021-11-29 04:19:08,[],6,3,0,0,1,Python,2386,2,0,1,3,0,0
runebookdev/runebook,https://github.com/runebookdev/runebook,False,2020-02-10 07:35:29,2020-02-10 07:35:30,2021-06-21 13:52:32,"['runebook', 'translations', 'i18n', 'documentation']",109,3,19,0,1,,3628118,1107,0,1,3813,0,0
coli-saar/am-parser,https://github.com/coli-saar/am-parser,False,2019-05-13 15:19:13,2019-05-07 19:03:02,2022-07-29 21:58:37,[],26,8,8,0,8,Python,30622,100,5,12,343,0,0
songhaoyu/BoB,https://github.com/songhaoyu/BoB,False,2021-06-12 04:53:18,2021-06-12 04:54:40,2021-07-30 12:21:37,"['bert', 'personachat', 'acl2021', 'dialogue-model']",124,1,24,0,1,Python,1184,20,2,1,20,0,0
cytomining/DeepProfiler,https://github.com/cytomining/DeepProfiler,False,2016-11-10 21:33:35,2016-11-10 21:33:35,2022-10-21 13:04:50,[],64,8,32,3,11,Python,4818,342,130,5,794,3,0
fgolemo/threedee-tools,https://github.com/fgolemo/threedee-tools,False,2019-01-23 04:01:10,2019-01-23 04:03:46,2019-11-20 21:25:06,[],8,3,0,0,1,Python,89144,0,0,1,37,0,0
Aurametrix/Alg,https://github.com/Aurametrix/Alg,False,2013-08-08 16:25:57,2013-08-08 16:25:57,2022-11-18 02:31:06,[],6,4,4,0,1,Python,10229,1,0,1,882,0,0
Distributed-AI/PipeTransformer,https://github.com/Distributed-AI/PipeTransformer,False,2021-06-09 18:26:23,2020-12-27 18:48:20,2021-07-21 17:19:47,[],42,2,10,0,3,Python,37629,5,2,2,716,0,0
sunprinceS/MetaASR-CrossAccent,https://github.com/sunprinceS/MetaASR-CrossAccent,False,2020-04-12 00:14:05,2020-04-12 00:15:14,2020-08-08 15:10:19,"['meta-learning', 'asr', 'multi-task-learning', 'speech-pretraining', 'pytorch', 'gradient-based-meta-learning']",10,2,1,0,1,Jupyter Notebook,3116,10,0,4,37,0,0
borglab/gtsam,https://github.com/borglab/gtsam,False,2017-03-27 17:12:06,2009-08-21 22:23:24,2022-11-16 00:35:59,[],1703,56,573,13,137,C++,69021,1314,896,124,15268,54,4
Jungjee/ASVspoof_PA,https://github.com/Jungjee/ASVspoof_PA,False,2019-06-14 06:36:09,2019-06-14 06:35:10,2019-06-28 04:07:47,"['asvspoof', 'asvspoop2019', 'pytorch', 'dnn', 'end-to-end']",21,3,16,0,1,Python,48,9,0,1,24,0,0
Baukebrenninkmeijer/On-the-Generation-and-Evaluation-of-Synthetic-Tabular-Data-using-GANs,https://github.com/Baukebrenninkmeijer/On-the-Generation-and-Evaluation-of-Synthetic-Tabular-Data-using-GANs,False,2019-03-19 12:38:30,2019-03-19 12:38:31,2020-07-03 08:02:24,"['synthetic-data', 'synthetic-dataset-generation', 'gan', 'generative-adversarial-networks', 'tabular-data', 'data-synthesis', 'data-evaluation']",30,3,3,0,1,Jupyter Notebook,48789,1,0,1,12,0,0
HLTCHKUST/Perplexity-FactChecking,https://github.com/HLTCHKUST/Perplexity-FactChecking,False,2021-04-22 06:40:47,2021-04-22 06:40:47,2021-06-11 06:06:22,[],8,6,1,0,2,Python,2760,0,0,1,16,0,0
vgaraujov/CPC-NLP-PyTorch,https://github.com/vgaraujov/CPC-NLP-PyTorch,False,2020-09-16 06:46:47,2020-09-16 06:43:40,2020-09-16 22:32:03,"['self-supervised-learning', 'constrastive-learning', 'natural-language-processing', 'representation-learning']",7,1,3,0,1,Python,387,4,0,1,11,0,0
dual-grp/DONE,https://github.com/dual-grp/DONE,False,2021-01-13 02:12:12,2020-07-13 04:37:40,2021-01-20 00:20:55,[],8,1,1,0,3,Jupyter Notebook,61604,0,0,2,205,0,0
cambridgeltl/mop,https://github.com/cambridgeltl/mop,False,2021-09-08 09:52:23,2021-09-21 09:08:35,2022-05-27 12:12:51,[],21,5,1,0,1,Python,16291,4,0,1,12,0,0
Divadi/detection-toolbox,https://github.com/Divadi/detection-toolbox,False,2020-05-22 22:09:58,2020-05-22 22:10:46,2020-08-10 13:46:15,[],12,2,2,0,1,Python,67,0,0,1,6,0,0
kssteven418/LTP,https://github.com/kssteven418/LTP,False,2021-07-01 02:50:42,2021-07-01 02:50:43,2021-12-23 06:35:00,"['natural-language-processing', 'transformer', 'bert', 'pruning', 'model-compression', 'efficient-model', 'efficient-neural-networks']",52,1,7,0,1,Python,42265,9,4,4,6,0,0
huggingface/transformers,https://github.com/huggingface/transformers,False,2018-10-29 13:56:00,2018-10-29 13:56:02,2022-11-18 20:06:25,"['nlp', 'natural-language-processing', 'pytorch', 'language-model', 'tensorflow', 'bert', 'language-models', 'pytorch-transformers', 'nlp-library', 'transformer', 'model-hub', 'pretrained-models', 'jax', 'flax', 'seq2seq', 'speech-recognition', 'hacktoberfest', 'python', 'machine-learning', 'deep-learning']",74500,863,16952,105,438,Python,112277,20256,9867,142,11375,292,0
joelouismarino/variational_rl,https://github.com/joelouismarino/variational_rl,False,2019-06-17 16:28:08,2017-05-17 21:41:46,2021-01-23 19:59:42,[],16,3,0,0,75,Python,38365,9,9,2,615,2,0
Yale-LILY/ConvoSumm,https://github.com/Yale-LILY/ConvoSumm,False,2021-06-01 22:00:33,2021-06-01 22:01:15,2022-08-29 14:12:12,[],31,11,7,0,0,Python,10469,7,1,1,8,0,0
jxhe/unify-parameter-efficient-tuning,https://github.com/jxhe/unify-parameter-efficient-tuning,False,2021-06-24 08:43:45,2018-10-29 13:56:02,2022-03-24 21:18:29,[],205,7,27,0,418,Python,62474,21,12,239,7662,0,0
Lightning-AI/lightning,https://github.com/Lightning-AI/lightning,False,2019-03-31 00:45:57,2019-03-31 00:45:58,2022-11-19 18:05:55,"['python', 'deep-learning', 'artificial-intelligence', 'ai', 'pytorch', 'data-science', 'machine-learning']",20667,228,2651,113,448,Python,113801,13309,7680,145,8188,53,117
rycolab/differentiable-subset-pruning,https://github.com/rycolab/differentiable-subset-pruning,False,2021-08-06 18:40:31,2021-08-06 18:44:58,2021-08-20 22:00:05,[],13,2,1,0,1,Python,8940,1,0,1,6,0,0
koustuvsinha/clutrr-baselines,https://github.com/koustuvsinha/clutrr-baselines,False,2019-01-02 16:57:44,2018-12-30 17:07:59,2021-06-11 13:24:50,[],8,2,3,0,1,Python,176,3,0,1,123,5,0
zwcolin/Domain-Robustness-Prompt-Tuning,https://github.com/zwcolin/Domain-Robustness-Prompt-Tuning,False,2021-11-01 17:19:34,2021-11-01 17:19:35,2022-03-10 23:52:02,"['nlp', 't5', 'prompt-tuning', 'question-answering', 'squad']",12,2,1,0,3,Python,14608,9,8,5,78,0,8
clip-italian/clip-italian,https://github.com/clip-italian/clip-italian,False,2021-07-07 09:38:02,2021-07-07 09:56:47,2022-07-04 10:35:57,"['clip', 'transformers', 'transformers-models', 'contrastive-loss', 'huggingface', 'dataset']",112,6,13,0,5,Jupyter Notebook,4453,15,4,9,69,0,0
fazaghifari/BayesianOptTools,https://github.com/fazaghifari/BayesianOptTools,False,2019-02-08 02:46:17,2019-02-08 02:46:03,2021-05-01 07:08:09,"['predictive-modeling', 'optimization', 'multi-objective', 'machine-learning', 'uncertainty-quantification']",7,1,7,0,3,Python,22820,5,5,2,118,0,0
fcakyon/yolov5-pip,https://github.com/fcakyon/yolov5-pip,False,2021-02-10 11:36:41,2021-02-10 11:36:41,2022-10-27 19:00:03,"['yolo', 'yolov5', 'object-detection', 'pytorch', 'python', 'pip', 'ultralytics', 'yolov3', 'yolov4', 'machine-learning', 'deep-learning', 'computer-vision', 'aws', 'coco', 'neptune', 'neptune-ai', 's3', 'pypi', 'cli']",201,2,46,39,6,Python,1480,99,99,2,206,0,0
ferraric/Computational-Intelligence-Lab-2020,https://github.com/ferraric/Computational-Intelligence-Lab-2020,False,2020-02-21 14:03:35,2020-02-21 14:03:37,2020-08-03 14:03:11,[],6,3,0,0,4,Python,1172,93,91,11,586,0,0
ABaldrati/CLIP4Cir,https://github.com/ABaldrati/CLIP4Cir,False,2022-09-15 10:42:39,2022-09-01 09:15:02,2022-11-03 14:47:43,"['cirr', 'clip', 'image-retrieval', 'multimodal', 'pytorch', 'fashioniq']",17,2,2,0,1,Python,814,4,0,1,4,0,0
dahiyaaneesh/Handposeestimation,https://github.com/dahiyaaneesh/Handposeestimation,False,2021-05-15 09:42:05,2021-06-28 07:19:06,2021-06-28 07:19:06,"['hand-pose-estimation', 'self-supervised-learning', 'contrastive-learning', 'computer-vision', 'paper']",6,2,1,0,1,Jupyter Notebook,515,0,0,1,1,0,0
