Repo,Link,Archived,Creation Date,First Activity Date,Last Activity Date,Topics,#Star,#Watch,#Fork,#Releases,#Contributors,Language,Size,#Issues,#Pull Requests,#Branches,#Commits,#Comments,#Deployments
madebyollin/singing-style-transfer,https://github.com/madebyollin/singing-style-transfer,False,2019-01-10 20:42:21,2019-01-10 20:42:21,2019-04-04 16:42:49,[],8,2,1,0,3,Python,415354,0,0,2,156,0,16
FactFiber/kedro-dvc,https://github.com/FactFiber/kedro-dvc,False,2022-02-06 07:33:48,2022-02-07 00:15:34,2022-03-03 14:21:40,[],10,4,2,3,3,Python,398,48,6,8,59,0,0
ctlab/ITMO_FS,https://github.com/ctlab/ITMO_FS,False,2020-02-26 08:13:44,2018-11-02 17:02:34,2022-09-18 12:01:28,"['feature-selection', 'machine-learning']",116,8,30,0,16,Python,75969,58,50,8,596,0,0
iterative/dvc,https://github.com/iterative/dvc,False,2017-03-04 08:16:33,2017-03-04 08:16:33,2022-11-19 12:37:18,"['data-science', 'machine-learning', 'reproducibility', 'data-version-control', 'git', 'developer-tools', 'collaboration', 'ai', 'python', 'hacktoberfest']",10681,137,996,400,253,Python,16775,8349,4358,8,8158,45,0
iterative/dvc-data,https://github.com/iterative/dvc-data,False,2021-11-19 17:14:48,2022-01-18 23:23:20,2022-11-20 05:02:44,[],11,18,6,93,12,Python,407,230,216,2,340,0,0
codingpot/git-mlops,https://github.com/codingpot/git-mlops,False,2022-05-26 23:47:41,2022-05-26 23:47:43,2022-06-27 00:44:47,[],99,7,3,0,2,Python,71,6,3,2,59,0,0
reviewboard/reviewboard,https://github.com/reviewboard/reviewboard,False,2009-08-22 21:39:49,2006-09-27 07:25:53,2022-11-18 23:45:01,"['code-review', 'codereview', 'python', 'javascript', 'developer-tools']",1451,100,416,0,216,Python,59005,45,45,17,10729,23,0
timothyrenner/nuforc_sightings_data,https://github.com/timothyrenner/nuforc_sightings_data,False,2017-08-31 23:12:51,2017-08-26 13:42:19,2022-11-13 14:52:28,[],21,5,8,0,3,Python,54,20,19,1,68,0,0
Duankaiwen/PyCenterNet,https://github.com/Duankaiwen/PyCenterNet,False,2022-04-18 12:13:46,2022-04-18 12:19:07,2022-07-06 04:59:24,[],141,5,19,0,1,Python,13646,22,0,1,34,0,0
sicara/pycon-2022-dvc-streamlit,https://github.com/sicara/pycon-2022-dvc-streamlit,False,2022-04-08 16:20:10,2022-03-15 16:24:27,2022-04-12 06:23:42,"['mlops', 'dvc', 'streamlit']",19,1,6,0,1,Python,7998,0,0,4,42,0,0
ModelOriented/MAIR,https://github.com/ModelOriented/MAIR,False,2020-09-04 10:57:19,2020-09-04 10:57:21,2021-05-30 07:24:00,[],16,13,1,0,4,HTML,187198,5,0,2,127,0,0
iterative/dvc-objects,https://github.com/iterative/dvc-objects,False,2021-12-06 07:50:47,2022-01-18 23:22:33,2022-11-17 06:06:50,[],10,19,10,68,14,Python,518,170,157,2,277,3,0
iterative/vscode-dvc,https://github.com/iterative/vscode-dvc,False,2020-09-28 18:04:10,2020-09-28 18:04:12,2022-11-19 17:34:30,"['vscode', 'vscode-extension', 'dvc', 'data', 'data-science', 'machine-learning', 'python', 'visual-studio-code']",130,22,19,69,21,TypeScript,49295,2800,2268,14,4116,9,24
sicara/dvc-streamlit-example,https://github.com/sicara/dvc-streamlit-example,False,2021-04-30 17:02:55,2021-04-30 16:19:18,2022-01-07 09:23:33,[],32,4,6,0,2,HTML,2302,3,3,4,28,0,0
elleobrien/farmer,https://github.com/elleobrien/farmer,False,2020-08-13 18:43:25,2020-08-13 18:43:26,2020-08-13 20:33:19,[],14,1,50,0,1,Python,12,36,35,3,7,5,0
pyronear/pyro-risks,https://github.com/pyronear/pyro-risks,False,2020-09-30 17:19:23,2020-09-30 17:19:25,2022-06-16 10:39:05,"['python3', 'wildfire-forecasting', 'scikit-learn']",17,5,7,2,6,Python,6634,65,42,8,34,18,61
iterative/example-dvc-experiments,https://github.com/iterative/example-dvc-experiments,False,2021-05-19 08:31:39,2022-10-31 06:07:57,2022-11-02 03:11:33,"['example', 'dvc', 'deep-learning', 'machine-learning', 'mlops', 'ml-experiments']",10,21,23,0,1,HTML,17153,8,6,1,5,0,0
PacktPublishing/Production-Ready-Applied-Deep-Learning,https://github.com/PacktPublishing/Production-Ready-Applied-Deep-Learning,False,2021-12-08 05:45:50,2021-12-08 05:45:51,2022-10-25 13:37:50,[],60,3,10,0,6,Jupyter Notebook,42525,35,35,12,364,0,0
XiaoXiao-Woo/PanCollection,https://github.com/XiaoXiao-Woo/PanCollection,False,2022-06-14 17:16:00,2022-06-16 09:25:30,2022-11-09 12:38:58,[],13,1,1,0,2,Python,1097,0,0,2,56,0,0
HewlettPackard/cmf,https://github.com/HewlettPackard/cmf,False,2022-03-09 14:51:50,2022-03-11 12:13:08,2022-11-14 19:47:06,"['lineage', 'metadata', 'pipeline']",8,10,4,1,3,Python,30844,22,13,7,70,0,0
fengbingchun/PyTorch_Test,https://github.com/fengbingchun/PyTorch_Test,False,2019-01-24 09:24:59,2019-01-24 09:25:00,2022-09-25 07:50:54,[],11,1,4,0,2,C++,264586,8,7,1,35,0,0
codecypher/LearnAI,https://github.com/codecypher/LearnAI,False,2022-06-02 03:39:47,2022-06-02 03:37:38,2022-10-29 04:36:30,[],6,2,0,0,1,Python,27500,0,0,1,110,0,0
CIA-Oceanix/4dvarnet-core,https://github.com/CIA-Oceanix/4dvarnet-core,False,2021-05-07 09:05:17,2021-05-07 09:05:18,2022-06-01 11:27:22,[],8,3,5,1,6,Python,102641,88,88,19,477,0,0
iterative/dvc-bench,https://github.com/iterative/dvc-bench,False,2020-05-14 16:21:55,2020-05-14 16:27:58,2022-11-07 07:08:14,"['benchmarks', 'dvc', 'performance-testing', 'asv', 'pytest-benchmark', 'airspeed-velocity', 'benchmark', 'python', 'testing']",19,17,9,1,10,Python,5462,392,255,4,302,0,663
fuzzylabs/vertex-edge,https://github.com/fuzzylabs/vertex-edge,False,2021-06-25 09:59:15,2021-06-25 09:59:16,2021-11-15 15:42:39,"['machine-learning', 'deep-learning', 'google-cloud-platform', 'mlops', 'ai', 'gcp', 'ml-infrastructure', 'vertex-edge']",24,3,11,0,3,Python,4293,49,20,2,128,0,0
iterative/dvc.org,https://github.com/iterative/dvc.org,False,2018-06-03 19:30:51,2018-06-01 07:40:33,2022-11-18 22:56:38,"['www', 'website', 'open-source', 'react', 'markdown', 'algolia-search', 'algolia', 'documentation', 'documentation-site', 'hacktoberfest', 'pages', 'page', 'documentation-tool']",269,25,332,0,253,TypeScript,187621,4040,2911,50,8067,160,13333
mihail911/fake-news,https://github.com/mihail911/fake-news,False,2020-09-18 05:59:08,2020-09-18 06:22:19,2021-01-28 17:12:10,"['machinelearning', 'deeplearning', 'mlops', 'natural-language-processing', 'nlp', 'pytorch', 'scikit-learn']",121,8,50,0,1,Jupyter Notebook,2751,1,0,1,10,0,0
iterative/dvc-task,https://github.com/iterative/dvc-task,False,2022-01-25 08:09:47,2021-11-24 10:16:38,2022-11-17 08:35:15,[],7,11,3,20,6,Python,1232,95,80,5,103,0,48
aimhubio/aim,https://github.com/aimhubio/aim,False,2019-05-31 18:25:07,2019-05-31 18:25:07,2022-11-18 18:50:54,"['python', 'ai', 'data-science', 'data-visualization', 'experiment-tracking', 'machine-learning', 'metadata', 'metadata-tracking', 'ml', 'mlflow', 'mlops', 'pytorch', 'tensorboard', 'tensorflow', 'visualization']",2870,35,178,43,45,TypeScript,56595,2343,1621,77,1943,8,5
datarootsio/tutorial-mlops,https://github.com/datarootsio/tutorial-mlops,False,2022-05-02 20:05:01,2022-05-02 19:51:14,2022-11-15 20:23:21,[],17,6,4,0,4,Jupyter Notebook,6682,2,2,1,12,0,0
weiji14/deepicedrain,https://github.com/weiji14/deepicedrain,False,2019-10-09 02:02:05,2019-10-08 02:58:43,2022-10-03 21:13:01,"['intake', 'binder', 'python3', 'jupyter-lab', 'big-data', 'antarctica', 'ice-sheet', 'hdf5', 'zarr', 'pygmt', 'datashader', 'analysis-ready-data', 'icesat-2', 'open-science']",21,1,9,9,3,Jupyter Notebook,31062,343,331,8,536,0,0
jobovy/galpy,https://github.com/jobovy/galpy,False,2011-09-13 03:20:30,2010-07-10 18:53:30,2022-11-15 19:23:33,"['astrophysics', 'astronomy', 'python', 'dynamics', 'scientific-computing', 'physics', 'astropy-affiliated']",180,24,85,14,26,Python,33328,519,140,17,7354,0,1
felipepenha/py-greenhouse,https://github.com/felipepenha/py-greenhouse,False,2021-02-23 21:18:22,2021-02-23 21:18:23,2021-09-07 21:59:30,[],29,2,8,1,3,Python,2513,51,47,3,152,0,0
achao2013/deep3dmap,https://github.com/achao2013/deep3dmap,False,2021-10-07 03:45:29,2021-10-07 03:45:30,2022-06-20 01:24:33,[],35,2,1,0,1,Python,3717,2,0,1,64,0,0
JialeCao001/PSTR,https://github.com/JialeCao001/PSTR,False,2022-04-07 10:26:13,2022-04-07 10:26:14,2022-04-08 04:08:51,"['end-to-end-detection', 'person-search', 'transformer']",24,4,10,0,1,Python,13138,4,0,1,5,0,0
kumuji/mix3d,https://github.com/kumuji/mix3d,False,2021-10-07 09:00:22,2021-10-07 09:34:51,2022-04-18 15:50:24,"['point-cloud', '3d', 'augmentation', '3dvision', 'semantic-segmentation']",183,7,25,0,3,Python,11433,18,1,2,29,0,28
andriygav/MachineLearningSeminars,https://github.com/andriygav/MachineLearningSeminars,False,2020-08-30 09:35:56,2020-08-30 09:35:58,2022-11-11 10:55:05,"['machine-learning', 'ml-course', 'ml-practicum']",146,11,89,0,1,Jupyter Notebook,90661,1,1,2,329,0,88
iterative/workshop-uncool-mlops-solution,https://github.com/iterative/workshop-uncool-mlops-solution,False,2022-02-25 13:46:05,2022-06-04 19:22:42,2022-08-18 18:48:02,[],6,4,2,0,1,Python,2016,53,43,2,9,1,0
10-Academy-quad-squad/casual-graph,https://github.com/10-Academy-quad-squad/casual-graph,False,2021-08-24 09:49:38,2021-08-24 09:49:38,2021-09-17 20:15:30,"['python', 'causal-inference', 'causalnex', 'bayesian-network', 'dvc']",7,0,6,0,4,Jupyter Notebook,46310,43,37,7,162,0,0
