Repo,Link,Archived,Creation Date,First Activity Date,Last Activity Date,Topics,#Star,#Watch,#Fork,#Releases,#Contributors,Language,Size,#Issues,#Pull Requests,#Branches,#Commits,#Comments,#Deployments
rchynoweth/DemoContent,https://github.com/rchynoweth/DemoContent,False,2021-06-16 22:27:47,2021-06-16 22:27:48,2022-10-13 22:44:23,[],5,2,4,0,1,Python,10959,2,2,1,82,0,0
RafiKurlansik/dais2021_full_ml_lifecycle,https://github.com/RafiKurlansik/dais2021_full_ml_lifecycle,False,2021-05-27 22:35:29,2021-05-27 22:35:29,2021-10-08 00:36:31,[],12,1,19,0,2,Jupyter Notebook,1783,2,1,1,13,0,0
AnastasiaProkaieva/MlFlow_Foundational_Training,https://github.com/AnastasiaProkaieva/MlFlow_Foundational_Training,False,2022-03-11 17:01:41,2022-03-11 17:01:42,2022-10-03 13:43:25,[],6,2,17,0,1,Python,135,4,4,3,32,0,0
niall-turbitt/e2e-mlops,https://github.com/niall-turbitt/e2e-mlops,False,2022-04-01 08:00:14,2022-04-01 07:58:38,2022-11-14 11:06:43,[],56,8,76,4,3,Python,2839,70,64,1,306,0,0
flaviomalavazi/databricks-data-journey-brasil,https://github.com/flaviomalavazi/databricks-data-journey-brasil,False,2022-06-30 18:41:20,2022-06-30 18:41:20,2022-07-13 17:55:56,[],21,2,10,0,2,Python,14668,7,7,1,24,0,0
jan21deepak/ANZBootcamp,https://github.com/jan21deepak/ANZBootcamp,False,2021-04-13 05:15:33,2021-04-13 05:25:53,2021-10-21 01:18:06,[],5,1,16,0,4,Python,156,6,6,4,25,0,0
ggwiebe/data-ai-virtual-tour,https://github.com/ggwiebe/data-ai-virtual-tour,False,2022-08-11 19:48:26,2022-08-11 20:10:18,2022-09-02 19:48:48,[],5,1,8,0,1,Python,83606,0,0,1,17,0,0
aminenouira-db/ml-training-20220621,https://github.com/aminenouira-db/ml-training-20220621,False,2022-06-20 17:29:28,2022-06-20 17:29:29,2022-07-21 12:15:26,[],18,1,9,0,1,Python,27,3,3,1,4,0,0
QuentinAmbard/databricks-demo,https://github.com/QuentinAmbard/databricks-demo,False,2020-12-21 15:15:42,2020-12-21 15:15:43,2022-10-25 08:25:53,[],8,2,25,0,2,Python,112617,4,4,1,258,0,0
databricks/tech-talks,https://github.com/databricks/tech-talks,False,2020-04-03 21:32:14,2020-04-03 21:32:16,2022-01-20 22:07:00,[],579,87,383,0,25,HTML,136096,85,74,3,319,1,0
cchalc/databricks-e2e-ml,https://github.com/cchalc/databricks-e2e-ml,False,2021-09-17 03:36:59,2021-09-17 03:37:00,2022-07-11 20:08:20,[],6,3,1,0,1,Python,83,0,0,1,16,0,0
dbsys21/MLOps_E2E,https://github.com/dbsys21/MLOps_E2E,False,2022-02-13 02:50:59,2022-02-13 02:50:59,2022-11-17 06:04:39,[],6,1,7,1,1,Roff,246,2,2,1,61,0,0
