Repo,Link,Archived,Creation Date,First Activity Date,Last Activity Date,Topics,#Star,#Watch,#Fork,#Releases,#Contributors,Language,Size,#Issues,#Pull Requests,#Branches,#Commits,#Comments,#Deployments
mdaniel/virtualbox-org-svn-vbox-trunk,https://github.com/mdaniel/virtualbox-org-svn-vbox-trunk,False,2012-03-01 23:20:01,1970-01-01 00:00:00,2022-11-11 12:46:18,"['mirrored-repositories', 'git-svn', 'unofficial', 'virtualbox', 'virtualization']",75,7,35,0,0,C,822551,3,3,2,97500,0,0
frankfka/SimpleScanner-iOS,https://github.com/frankfka/SimpleScanner-iOS,False,2019-05-27 04:10:20,2019-05-26 20:31:24,2020-06-20 21:40:57,[],9,1,5,0,1,Swift,57377,2,1,1,25,0,0
eclair4151/MC-Status-Widget-for-Minecraft,https://github.com/eclair4151/MC-Status-Widget-for-Minecraft,False,2018-07-05 22:42:21,2018-05-30 02:21:34,2022-10-13 17:11:15,[],32,7,2,0,1,Swift,74138,32,1,2,130,0,0
zhusz/ICLR22-DGS,https://github.com/zhusz/ICLR22-DGS,False,2022-04-27 07:58:38,2022-04-27 08:00:56,2022-04-27 08:00:56,[],14,1,0,0,0,Python,38176,1,0,2,1,0,0
determined-ai/works-with-determined,https://github.com/determined-ai/works-with-determined,False,2020-06-26 22:38:06,2020-06-26 22:38:08,2022-10-25 13:29:42,[],33,9,19,0,8,Python,21491,14,13,11,107,0,0
russo-programmisto/awesome-libs-ios,https://github.com/russo-programmisto/awesome-libs-ios,False,2020-08-20 18:06:10,2020-08-20 18:06:11,2021-01-30 05:10:59,"['appstore', 'xcode', 'swift', 'ios', 'ios-app', 'ios-swift', 'cocoapods', 'cocoapods-support', 'carthage', 'carthage-support', 'swift-package-manager', 'swift-package', 'open-source', 'open-source-project', 'open-source-app', 'awesome', 'awesome-list']",9,0,1,0,1,Swift,47827,0,0,1,52,0,0
JasonHaque/chatapp,https://github.com/JasonHaque/chatapp,False,2020-08-11 12:35:41,2020-08-11 12:35:42,2020-09-15 14:18:42,[],7,3,0,0,1,Swift,49950,0,0,1,160,0,0
codrsquad/runez,https://github.com/codrsquad/runez,False,2018-09-23 08:00:25,2018-09-23 10:15:09,2022-06-01 20:56:20,[],7,2,2,0,1,Python,1273,6,5,2,630,0,0
kirualex/Flamingo,https://github.com/kirualex/Flamingo,False,2018-02-02 14:54:04,2018-02-02 14:54:04,2022-09-13 09:53:24,[],35,2,10,0,2,HTML,123958,9,5,1,100,0,0
MilovanTomasevic/iOS-Swift-The-Complete-iOS-App-Development-Bootcamp,https://github.com/MilovanTomasevic/iOS-Swift-The-Complete-iOS-App-Development-Bootcamp,False,2021-04-22 20:19:19,2021-04-22 20:19:20,2021-05-11 18:25:19,"['ios13', 'swift5']",19,4,8,0,1,Swift,230681,0,0,1,44,0,0
determined-ai/lunch_and_learn,https://github.com/determined-ai/lunch_and_learn,False,2021-01-20 00:58:58,2021-01-20 01:00:11,2021-11-16 17:03:06,[],6,7,4,0,2,Jupyter Notebook,8348,3,2,1,10,0,0
realm/realm-core,https://github.com/realm/realm-core,False,2011-06-18 21:18:46,2010-09-21 13:26:36,2022-11-18 22:03:03,"['database', 'mobile-database', 'realm', 'c-plus-plus', 'cpp', 'library', 'nosql-database', 'mobile', 'realtime-database', 'reactive']",934,56,137,0,80,C++,92191,5990,4490,239,20590,387,0
