Repo,Link,Archived,Creation Date,First Activity Date,Last Activity Date,Topics,#Star,#Watch,#Fork,#Releases,#Contributors,Language,Size,#Issues,#Pull Requests,#Branches,#Commits,#Comments,#Deployments
lies-exposed/lies.exposed,https://github.com/lies-exposed/lies.exposed,False,2019-11-14 14:08:23,2019-11-14 14:08:24,2022-11-19 21:47:08,"['activism', 'impact', 'society', 'truth']",18,1,1,0,4,TypeScript,1629190,466,386,10,1121,0,0
opnfv/releng,https://github.com/opnfv/releng,False,2016-11-03 17:45:08,2015-02-18 20:50:09,2022-11-17 09:50:45,[],12,6,17,0,122,Python,14741,2,2,2,8187,0,0
Qmeimei10086/Dxscan,https://github.com/Qmeimei10086/Dxscan,False,2021-02-20 08:05:30,2021-02-20 08:05:31,2021-02-22 14:03:51,[],8,2,2,0,1,Python,13338,0,0,1,41,0,0
fruit-in/exercism-solution,https://github.com/fruit-in/exercism-solution,False,2020-11-19 12:35:41,2020-11-19 12:35:42,2021-04-08 02:36:58,"['exercism', 'exercism-solution', 'exercism-python', 'exercism-rust', 'exercism-vimscript', 'exercism-elm', 'exercism-haskell']",11,0,0,0,1,Python,1014,0,0,1,409,0,0
libp2p/hydra-booster,https://github.com/libp2p/hydra-booster,False,2020-03-05 09:43:21,2017-03-10 09:38:11,2022-09-19 13:41:47,"['libp2p', 'dht', 'scalability', 'ipfs']",70,3,2,8,21,Go,962,180,117,25,327,2,166
Mickey758/Calani-AIO,https://github.com/Mickey758/Calani-AIO,False,2021-11-03 05:05:44,2021-11-03 05:05:25,2022-11-16 19:36:12,"['pentesting', 'cracking', 'aio', 'checker', 'account-checker', 'python', 'cracker', 'free', 'account-checking', 'account-cracking', 'instagram-checker', 'steam-checker', 'proxy-checker', 'combo-editor', 'discord-checker', 'python3', 'disney-checker']",44,4,9,21,1,Python,198,14,1,3,59,0,10
iceyhexman/onlinetools,https://github.com/iceyhexman/onlinetools,False,2018-01-30 16:51:46,2018-01-30 16:52:05,2022-10-28 04:01:38,[],1415,35,346,0,2,Python,2402,26,5,2,88,0,0
exercism/python,https://github.com/exercism/python,False,2014-02-28 03:48:58,2013-06-06 00:20:25,2022-11-19 10:13:59,['exercism-track'],1290,122,988,0,359,Python,5861,3194,2133,9,3614,45,0
fla-sil/PyTorrent,https://github.com/fla-sil/PyTorrent,False,2021-01-10 20:30:30,2021-01-10 20:30:32,2022-06-01 01:44:56,[],29,2,20,0,4,,844788,12,11,1,54,0,0
PhilAndrew/JumpMicro,https://github.com/PhilAndrew/JumpMicro,False,2017-02-01 03:48:26,2017-02-01 03:48:26,2017-07-06 09:16:48,"['microservice', 'scala', 'scalajs', 'apache-camel', 'osgi']",5,2,2,0,0,JavaScript,933,4,0,1,256,0,0
abw333/dominoes,https://github.com/abw333/dominoes,False,2013-05-23 14:20:05,2013-05-23 14:20:06,2018-10-26 20:06:03,[],40,5,22,0,1,Python,726,129,122,1,540,5,0
numenta/htmresearch,https://github.com/numenta/htmresearch,False,2014-09-02 04:42:30,2014-09-06 00:17:45,2019-05-05 17:51:21,[],223,72,109,2,27,Jupyter Notebook,496585,1000,885,5,5346,14,15
angeris/DominAI,https://github.com/angeris/DominAI,False,2016-10-22 04:45:33,2016-10-22 04:45:33,2016-12-17 03:44:26,[],9,2,2,0,2,Python,1670,0,0,1,74,0,0
nrccua/aioradio,https://github.com/nrccua/aioradio,False,2020-10-13 14:28:43,2020-10-13 14:28:45,2022-11-18 00:57:32,[],9,3,0,68,5,Python,671,87,87,84,200,0,0
sagemath/sage-combinat-widgets,https://github.com/sagemath/sage-combinat-widgets,False,2018-07-09 08:47:40,2018-07-09 09:13:19,2022-01-20 12:23:07,[],8,11,5,0,8,Python,8859,43,34,17,554,1,0
HCL-TECH-SOFTWARE/appdev-pack-samples,https://github.com/HCL-TECH-SOFTWARE/appdev-pack-samples,False,2020-09-15 19:25:08,2020-10-29 17:43:46,2021-07-06 15:31:43,"['domino', 'developers', 'sample']",6,9,3,0,1,JavaScript,429,0,0,1,17,0,0
