Repo,Error
mdaniel/virtualbox-org-svn-vbox-trunk,"403 {""message"": ""API rate limit exceeded for user ID 8592144."", ""documentation_url"": ""https://docs.github.com/rest/overview/resources-in-the-rest-api#rate-limiting""}"
frankfka/SimpleScanner-iOS,"403 {""message"": ""API rate limit exceeded for user ID 8592144."", ""documentation_url"": ""https://docs.github.com/rest/overview/resources-in-the-rest-api#rate-limiting""}"
kbastani/sentiment-analysis-twitter-microservices-example,"403 {""message"": ""API rate limit exceeded for user ID 8592144."", ""documentation_url"": ""https://docs.github.com/rest/overview/resources-in-the-rest-api#rate-limiting""}"
eclair4151/MC-Status-Widget-for-Minecraft,"403 {""message"": ""API rate limit exceeded for user ID 8592144."", ""documentation_url"": ""https://docs.github.com/rest/overview/resources-in-the-rest-api#rate-limiting""}"
zhusz/ICLR22-DGS,"403 {""message"": ""API rate limit exceeded for user ID 8592144."", ""documentation_url"": ""https://docs.github.com/rest/overview/resources-in-the-rest-api#rate-limiting""}"
determined-ai/works-with-determined,"403 {""message"": ""API rate limit exceeded for user ID 8592144."", ""documentation_url"": ""https://docs.github.com/rest/overview/resources-in-the-rest-api#rate-limiting""}"
russo-programmisto/awesome-libs-ios,"403 {""message"": ""API rate limit exceeded for user ID 8592144."", ""documentation_url"": ""https://docs.github.com/rest/overview/resources-in-the-rest-api#rate-limiting""}"
coreweave/kubernetes-cloud,"403 {""message"": ""API rate limit exceeded for user ID 8592144."", ""documentation_url"": ""https://docs.github.com/rest/overview/resources-in-the-rest-api#rate-limiting""}"
JasonHaque/chatapp,"403 {""message"": ""API rate limit exceeded for user ID 8592144."", ""documentation_url"": ""https://docs.github.com/rest/overview/resources-in-the-rest-api#rate-limiting""}"
codrsquad/runez,"403 {""message"": ""API rate limit exceeded for user ID 8592144."", ""documentation_url"": ""https://docs.github.com/rest/overview/resources-in-the-rest-api#rate-limiting""}"
kirualex/Flamingo,"403 {""message"": ""API rate limit exceeded for user ID 8592144."", ""documentation_url"": ""https://docs.github.com/rest/overview/resources-in-the-rest-api#rate-limiting""}"
MilovanTomasevic/iOS-Swift-The-Complete-iOS-App-Development-Bootcamp,"403 {""message"": ""API rate limit exceeded for user ID 8592144."", ""documentation_url"": ""https://docs.github.com/rest/overview/resources-in-the-rest-api#rate-limiting""}"
determined-ai/lunch_and_learn,"403 {""message"": ""API rate limit exceeded for user ID 8592144."", ""documentation_url"": ""https://docs.github.com/rest/overview/resources-in-the-rest-api#rate-limiting""}"
realm/realm-core,"403 {""message"": ""API rate limit exceeded for user ID 8592144."", ""documentation_url"": ""https://docs.github.com/rest/overview/resources-in-the-rest-api#rate-limiting""}"
Glaver/MovieBase,"403 {""message"": ""API rate limit exceeded for user ID 8592144."", ""documentation_url"": ""https://docs.github.com/rest/overview/resources-in-the-rest-api#rate-limiting""}"
devertran/swift-firebase-chatapp,"403 {""message"": ""API rate limit exceeded for user ID 8592144."", ""documentation_url"": ""https://docs.github.com/rest/overview/resources-in-the-rest-api#rate-limiting""}"
NetApp/trident,"403 {""message"": ""API rate limit exceeded for user ID 8592144."", ""documentation_url"": ""https://docs.github.com/rest/overview/resources-in-the-rest-api#rate-limiting""}"
