Repo,Error
j-v-n/Springboard,"HTTPSConnectionPool(host='api.github.com', port=443): Read timed out. (read timeout=15)"
Data-drone/DAIS2022-Scaling-Deep-Learning-Talk,"HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/Data-drone/DAIS2022-Scaling-Deep-Learning-Talk (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000001BBC1373C40>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
getindata/kedro-airflow-k8s,"HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/getindata/kedro-airflow-k8s (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000001BBC1373F40>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
Deena-Gergis/e2e_ds_project,"HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/Deena-Gergis/e2e_ds_project (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000001BBC1373E50>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
mlflow/mlp-regression-template,"HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/mlflow/mlp-regression-template (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000001BBC1373BE0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
OmdenaAI/omdena-srilanka-tea-quality,"HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/OmdenaAI/omdena-srilanka-tea-quality (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000001BBC1373EB0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
altescy/xallennlp,"HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/altescy/xallennlp (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000001BBC1373DC0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
mesosphere/dcos-docs-site,"HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/mesosphere/dcos-docs-site (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000001BBC1373B80>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
averkij/a-studio,"HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/averkij/a-studio (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000001BBC1373D90>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
pnnl/deps_arXiv2020,"HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/pnnl/deps_arXiv2020 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000001BBC1373D60>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
