Repo,Link,Archived,Creation Date,First Activity Date,Last Activity Date,Topics,#Star,#Watch,#Fork,#Releases,#Contributors,Language,Size,#Issues,#Pull Requests,#Branches,#Commits,#Comments,#Deployments
hate-alert/CounterGEDI,https://github.com/hate-alert/CounterGEDI,False,2020-07-28 06:18:51,2020-07-28 06:18:52,2022-07-19 12:49:59,"['counterspeech', 'classification', 'transformers', 'generation', 'dialog-generation', 'gedi', 'hatespeech', 'social-media']",6,3,0,0,3,Jupyter Notebook,6592,1,0,1,72,0,0
joanaapa/Distillation-DNABERT-Promoter,https://github.com/joanaapa/Distillation-DNABERT-Promoter,False,2022-05-23 13:29:24,2022-05-23 13:29:25,2022-11-03 16:18:45,[],7,1,1,0,1,Python,10609,1,0,1,28,0,0
MacHu-GWU/troposphere_mate-project,https://github.com/MacHu-GWU/troposphere_mate-project,False,2019-07-07 15:09:25,2019-07-07 15:08:48,2020-03-14 04:10:16,[],9,1,2,0,1,Python,981,1,0,1,90,2,0
kowaalczyk/reformer-tts,https://github.com/kowaalczyk/reformer-tts,False,2020-03-12 09:47:49,2020-03-12 09:47:52,2020-06-22 17:41:34,"['text-to-speech', 'reformer', 'transformer', 'machine-learning', 'squeeze-wave', 'tts', 'pytorch', 'python', 'pytorch-lightning']",8,3,0,1,3,Python,278,39,39,8,104,0,0
marcociccone/yapt,https://github.com/marcociccone/yapt,False,2020-10-08 14:22:41,2020-02-09 11:15:01,2020-11-23 14:05:45,"['pytorch', 'deep-learning', 'trainer', 'neptune-ai']",5,2,3,0,2,Python,198,1,1,1,79,0,0
shonenkov/Digital-Peter-Model-Comparisons,https://github.com/shonenkov/Digital-Peter-Model-Comparisons,False,2021-02-22 20:29:55,2021-02-23 21:54:04,2021-02-26 12:25:35,[],7,2,3,0,1,Jupyter Notebook,547,1,1,1,19,0,0
showlab/Region_Learner,https://github.com/showlab/Region_Learner,False,2021-11-21 13:20:58,2021-11-21 13:20:59,2022-07-15 11:15:29,['video-language'],33,4,3,0,1,Python,15398,4,0,1,18,0,0
arx7ti/cold-nilm,https://github.com/arx7ti/cold-nilm,False,2021-06-04 02:50:21,2021-06-04 02:50:22,2021-09-09 13:40:15,['nilm'],8,1,0,0,2,Jupyter Notebook,1425,0,0,1,25,0,0
TUM-DAML/seml,https://github.com/TUM-DAML/seml,False,2019-10-13 22:33:46,2019-10-13 22:33:47,2022-11-09 09:25:45,"['utility', 'slurm', 'slurm-workload-manager', 'experiment-tracking', 'hyperparameter-optimization']",121,6,22,16,12,Python,877,103,52,10,487,19,0
VisionLearningGroup/SND,https://github.com/VisionLearningGroup/SND,False,2021-08-14 16:56:51,2021-08-14 16:56:51,2021-10-08 18:39:19,[],11,2,1,0,1,Python,592,0,0,1,17,0,0
ReML-AI/MGTN,https://github.com/ReML-AI/MGTN,False,2021-03-12 18:27:49,2021-03-12 18:22:23,2021-04-24 16:52:22,[],14,4,2,0,1,Python,2277,3,0,1,3,0,0
catalyst-team/catalyst-rl,https://github.com/catalyst-team/catalyst-rl,False,2020-03-17 09:29:13,2020-03-17 09:29:14,2021-09-13 05:59:12,[],44,4,5,0,1,Python,354,3,0,1,5,0,0
ifding/deep-learning-python,https://github.com/ifding/deep-learning-python,False,2017-04-05 19:08:52,2020-10-01 23:53:18,2022-01-12 21:35:34,"['deep-learning', 'c-plus-plus', 'machine-learning', 'opencv', 'python', 'computer-vision']",15,3,17,0,1,Python,9656,0,0,1,5,0,0
YiLi225/NeptuneBlogs,https://github.com/YiLi225/NeptuneBlogs,False,2021-05-06 17:00:24,2021-05-06 17:04:00,2022-03-29 17:09:03,[],22,3,12,0,1,Python,134,2,0,1,14,0,0
belskikh/kekas,https://github.com/belskikh/kekas,False,2018-08-12 10:34:07,2018-08-12 10:34:07,2021-03-09 07:48:31,"['pytorch', 'deep-learning', 'neural-networks', 'kek']",182,12,19,6,8,Python,589,39,17,5,219,0,0
ai-forever/StackMix-OCR,https://github.com/ai-forever/StackMix-OCR,False,2021-02-12 14:50:45,2021-02-12 14:53:32,2022-11-01 08:29:35,[],19,2,2,0,5,Jupyter Notebook,3576,25,23,23,86,0,0
ds-wook/ai-hackathon,https://github.com/ds-wook/ai-hackathon,False,2021-09-17 00:41:36,2021-09-17 00:41:37,2022-05-19 04:10:44,"['dacon', 'machine-learning', 'deep-learning', 'stacking-ensemble', 'xgboost', 'catboost', 'shap', 'automl']",18,4,0,0,1,Python,65,0,0,1,26,0,0
cvlab-yonsei/DASS,https://github.com/cvlab-yonsei/DASS,False,2022-07-20 01:38:08,2022-07-20 01:43:02,2022-07-20 10:45:12,[],21,3,3,0,1,Python,2085,2,0,1,9,0,0
Atharva-Phatak/torchflare,https://github.com/Atharva-Phatak/torchflare,False,2021-04-16 14:55:28,2021-04-16 14:55:14,2022-06-20 21:43:47,"['deep-learning', 'pytorch', 'python', 'deep-neural-networks', 'image-classification', 'infrastructure', 'natural-language-processing', 'text-classification', 'image-processing', 'image-segmentation', 'kaggle', 'pytorch-model', 'gans', 'generative-adversarial-network', 'machine-learning', 'self-supervised-learning', 'image-classfication']",85,2,9,6,8,Python,18960,405,391,13,298,0,106
edgeai-neptune/neptune,https://github.com/edgeai-neptune/neptune,False,2021-01-04 03:26:26,2021-01-04 03:26:28,2021-01-28 12:05:28,[],15,2,6,0,5,Go,10614,55,45,2,74,0,0
SeongjuLee/DCENet-PyTorch,https://github.com/SeongjuLee/DCENet-PyTorch,False,2021-02-05 06:46:48,2021-02-05 06:46:49,2021-06-05 17:33:39,[],10,1,1,0,2,Python,13546,2,0,1,10,0,0
