Repo,Link,Archived,Creation Date,First Activity Date,Last Activity Date,Topics,#Star,#Watch,#Fork,#Releases,#Contributors,Language,Size,#Issues,#Pull Requests,#Branches,#Commits,#Comments,#Deployments
quiltdata/quilt,https://github.com/quiltdata/quilt,False,2017-02-10 02:46:03,2017-01-11 01:02:59,2022-11-18 15:40:03,"['data', 'data-engineering', 'data-version-control', 'data-versioning', 'python', 'serialization', 'parquet']",1194,20,83,52,32,Jupyter Notebook,196228,3190,3082,161,4003,52,2925
AllenCellModeling/aicsimageio,https://github.com/AllenCellModeling/aicsimageio,False,2019-06-27 16:43:22,2018-08-08 19:01:20,2022-11-15 20:38:20,"['python', 'imageio', 'microscopy', 'bio-formats', 'image-metadata', 'scientific-computing', 'scientific-formats', 'xarray', 'dask']",137,8,34,19,18,Python,172921,440,229,10,510,0,197
AllenCellModeling/pytorch_fnet,https://github.com/AllenCellModeling/pytorch_fnet,False,2017-06-14 00:31:44,2017-06-14 00:30:50,2020-02-25 23:47:29,[],133,9,53,1,5,Python,141671,184,90,20,611,0,6
netguru/opoca,https://github.com/netguru/opoca,False,2020-05-26 12:42:21,2020-05-26 12:42:23,2020-11-27 22:42:14,[],8,2,0,0,4,Python,1096,27,27,18,13,0,0
quiltdata/examples,https://github.com/quiltdata/examples,False,2017-04-12 21:50:48,2017-04-12 21:49:07,2022-10-31 17:55:12,[],10,4,5,0,5,Jupyter Notebook,26255,5,5,4,66,0,0
pysal/segregation,https://github.com/pysal/segregation,False,2018-12-19 23:59:59,2009-10-14 22:28:54,2022-06-18 19:56:06,"['python', 'spatial-analysis', 'statistics', 'segregation', 'geospatial']",93,22,24,14,10,Jupyter Notebook,144951,202,135,5,1095,4,35
aionthebeach/ocean-maps,https://github.com/aionthebeach/ocean-maps,False,2019-07-17 19:35:08,2019-07-17 19:59:40,2021-03-30 00:32:53,[],7,8,5,0,8,Jupyter Notebook,740428,61,33,11,88,0,0
AllenCellModeling/actk,https://github.com/AllenCellModeling/actk,False,2020-03-09 20:34:21,2020-03-09 20:37:53,2020-12-15 19:42:58,"['biology', 'microscopy', 'image-processing', 'cell-biology', 'pipeline']",20,9,3,1,2,Python,6935,45,27,5,39,1,29
fla-sil/PyTorrent,https://github.com/fla-sil/PyTorrent,False,2021-01-10 20:30:30,2021-01-10 20:30:32,2022-06-01 01:44:56,[],29,2,20,0,4,,844788,12,11,1,54,0,0
AllenCell/cvapipe_analysis,https://github.com/AllenCell/cvapipe_analysis,False,2020-12-01 17:08:48,2020-11-30 16:23:56,2022-11-09 17:49:32,[],6,6,2,1,5,Jupyter Notebook,193794,47,33,11,450,1,0
tlambert03/ome-types,https://github.com/tlambert03/ome-types,False,2019-10-30 22:50:05,2019-10-30 22:50:05,2022-11-17 00:21:36,"['metadata', 'microscopy', 'ome']",31,7,7,16,7,Python,467,157,111,7,158,0,0
spatialucr/geosnap,https://github.com/spatialucr/geosnap,False,2018-09-19 22:17:02,2018-10-02 21:41:03,2022-10-24 18:03:33,[],172,17,27,24,8,Python,459618,342,208,8,974,0,117
MMV-Lab/mmv_im2im,https://github.com/MMV-Lab/mmv_im2im,False,2021-11-11 05:36:57,2021-11-11 06:02:57,2022-10-20 10:48:35,[],31,2,1,0,4,Python,3767,75,44,8,60,0,30
AllenCellModeling/napari-aicsimageio,https://github.com/AllenCellModeling/napari-aicsimageio,False,2020-03-20 17:52:38,2020-03-20 17:52:10,2022-11-10 20:42:15,"['napari', 'imageio', 'microscopy']",26,6,6,6,6,Python,57430,68,36,1,63,0,0
pysal/tobler,https://github.com/pysal/tobler,False,2019-08-13 20:41:42,2018-03-07 03:56:21,2022-07-05 20:13:06,[],106,10,24,18,7,Jupyter Notebook,130651,166,106,5,657,0,79
AllenCellModeling/pytorch_integrated_cell,https://github.com/AllenCellModeling/pytorch_integrated_cell,False,2017-04-20 16:33:57,2017-04-20 16:36:22,2020-10-21 15:38:26,"['machine-learning', 'neural-networks', 'generative-adversarial-network', 'autoencoder', 'pytorch', 'cell-analysis', 'cell-biology', 'science-research', 'python']",40,6,10,0,2,Python,148306,99,39,11,461,0,0
