Repo,Link,Archived,Creation Date,Topics,#Star,#Watch,#Fork,#Releases,#Contributors,Language,Size,#Open Issues,#Pull Requests,#Branches,#Tags,#Commits,#Comments,#Downloads,#Deployments
hotpotqa/hotpotqa.github.io,https://github.com/hotpotqa/hotpotqa.github.io,False,2018-08-27 00:01:13,[],5,5,4,0,3,HTML,13341,0,0,1,0,183,0,0,183
stanfordnlp/coqa-baselines,https://github.com/stanfordnlp/coqa-baselines,False,2018-09-15 02:17:23,[],172,15,49,0,3,Python,75,5,0,2,0,46,0,0,0
shidi1985/L2RPN,https://github.com/shidi1985/L2RPN,False,2019-07-06 01:23:38,[],47,3,22,0,2,Python,109652,7,3,4,0,14,0,0,0
wa3dbk/ScribeSalad,https://github.com/wa3dbk/ScribeSalad,False,2018-12-01 00:10:03,"['youtube-video', 'youtube-videos-transcripts', 'joe-rogan-experience', 'jordan-b-peterson', 'artificial-intelligence', 'history', 'social-issues', 'politics', 'yalecourses', 'science', 'video', 'multilingual', 'transcripts']",44,8,24,0,1,,11085949,2,2,2,0,2258,0,0,0
arm-hpc/papi,https://github.com/arm-hpc/papi,False,2015-10-24 12:23:01,[],9,2,2,0,11,C,28316,0,0,35,152,6300,0,0,0
trevorlinton/webkit.js,https://github.com/trevorlinton/webkit.js,False,2014-01-16 09:54:37,[],1925,93,88,0,6,,840022,28,0,2,1,205,2,0,0
ad-si/RosettaGit,https://github.com/ad-si/RosettaGit,False,2019-10-26 23:41:27,"['chrestomathy', 'polyglot', 'omniglot', 'comparison', 'programming-languages']",183,12,13,0,4,HTML,68419,22,1,1,0,45,0,0,0
stunback/yolox_for_cann_atlas200dk,https://github.com/HITSZ-NRSL/yolox_for_cann_atlas200dk,False,2021-07-31 03:20:46,[],12,1,4,0,1,Python,19140,1,0,1,0,3,0,0,0
AnanyaKumar/transfer_learning,https://github.com/AnanyaKumar/transfer_learning,False,2020-11-24 19:54:12,[],21,6,3,0,1,Python,5254,0,0,2,0,56,0,0,0
bq/aquaris-M10-FHD,https://github.com/bq/aquaris-M10-FHD,False,2016-02-01 18:19:42,[],5,10,8,0,0,C,332295,0,0,2,11,6,0,0,0
YcheCourseProject/CommunityDetection,https://github.com/YcheCourseProject/CommunityDetection,False,2015-11-11 13:01:35,[],37,4,23,0,1,C,197214,0,0,3,0,92,0,0,0
ArctiqTeam/community-events,https://github.com/ArctiqTeam/community-events,False,2018-06-05 11:40:03,[],7,6,11,0,5,JavaScript,33730,1,1,9,0,58,0,0,0
