Repo,Link,Archived,Creation Date,Topics,#Star,#Watch,#Fork,#Releases,#Contributors,Language,Size,#Open Issues,#Pull Requests,#Branches,#Tags,#Commits,#Comments,#Downloads,#Deployments
artyommihailovich/ChatApp,https://github.com/artyommihailovich/ChatApp,False,2020-09-25 10:30:28,[],10,2,2,0,1,Swift,57055,0,0,2,0,83,0,0,0
zhusz/ICLR22-DGS,https://github.com/zhusz/ICLR22-DGS,False,2022-04-27 07:58:38,[],14,1,0,0,0,Python,38176,1,0,2,0,1,0,0,0
JasonHaque/chatapp,https://github.com/JasonHaque/chatapp,False,2020-08-11 12:35:41,[],7,3,0,0,1,Swift,49950,0,0,1,0,160,0,0,0
determined-ai/e2e-example,https://github.com/determined-ai/e2e-example,False,2020-05-15 15:41:32,[],6,6,1,0,0,Jupyter Notebook,2456,0,0,1,0,7,0,0,0
Rahul-Mayani/TinderCardView,https://github.com/Rahul-Mayani/TinderCardView,False,2020-11-10 06:36:51,"['tinder-card', 'carousel', 'swift', 'rxswift', 'mvvm-architecture', 'alamofire', 'realm', 'cartography', 'swiftlint', 'kingfisher', 'xcode', 'ios-swift', 'cardview']",6,3,3,0,1,Swift,41175,0,0,1,0,7,0,0,0
christhoper/GreatPeotry,https://github.com/christhoper/GreatPeotry,False,2020-04-20 07:20:23,['viper'],5,1,1,0,1,Swift,87579,0,0,3,0,41,0,0,0
rtu715/NAS-Bench-360,https://github.com/rtu715/NAS-Bench-360,False,2021-03-09 02:08:05,[],33,4,2,0,5,Python,14750,0,0,2,0,251,0,0,102
Glaver/MovieBase,https://github.com/Glaver/MovieBase,False,2020-10-01 14:43:34,"['swift', 'tmdb', 'tmdb-api', 'tmdb-client', 'realmswift', 'combine', 'swiftui', 'mvvm', 'movies']",5,1,0,0,1,Swift,89777,0,0,2,0,59,0,0,0
ferhanakkan/BaseCode,https://github.com/ferhanakkan/BaseCode,False,2020-07-30 07:31:01,[],26,1,5,0,1,Swift,49888,0,0,1,0,38,0,0,0
mlcommons/tiny_results_v0.7,https://github.com/mlcommons/tiny_results_v0.7,False,2022-04-04 17:13:37,[],8,4,7,0,6,C,243887,1,1,1,0,28,0,0,0
determined-ai/lunch_and_learn,https://github.com/determined-ai/lunch_and_learn,False,2021-01-20 00:58:58,[],6,7,4,0,2,Jupyter Notebook,8348,1,0,1,0,10,0,0,0
russo-programmisto/awesome-libs-ios,https://github.com/russo-programmisto/awesome-libs-ios,False,2020-08-20 18:06:10,"['appstore', 'xcode', 'swift', 'ios', 'ios-app', 'ios-swift', 'cocoapods', 'cocoapods-support', 'carthage', 'carthage-support', 'swift-package-manager', 'swift-package', 'open-source', 'open-source-project', 'open-source-app', 'awesome', 'awesome-list']",9,0,1,0,1,Swift,47827,0,0,1,0,52,0,0,0
determined-ai/works-with-determined,https://github.com/determined-ai/works-with-determined,False,2020-06-26 22:38:06,[],33,9,19,0,8,Python,21491,2,1,11,0,107,0,0,0
Arm-China/Compass_Unified_Parser,https://github.com/Arm-China/Compass_Unified_Parser,False,2022-10-24 02:06:25,[],17,2,4,0,6,Python,812,0,0,1,0,42,0,0,0
NeedQuiet/DNLocalMusicPlayer,https://github.com/NeedQuiet/DNLocalMusicPlayer,False,2020-07-02 02:58:17,[],5,1,2,0,1,Swift,15800,0,0,1,0,94,0,0,0
KevinTMtz/iOSApps,https://github.com/KevinTMtz/iOSApps,False,2020-06-01 02:39:40,"['swiftui', 'swift5', 'ios', 'xcode', 'coreml', 'coredata', 'realm', 'firebase', 'api']",5,1,1,0,1,Swift,60310,0,0,1,0,72,0,0,0
AfrazCodes/SwiftChatApp,https://github.com/AfrazCodes/SwiftChatApp,False,2020-06-06 19:26:03,[],138,10,52,0,0,Swift,47773,4,0,2,0,25,0,0,0
devertran/swift-firebase-chatapp,https://github.com/devertran/swift-firebase-chatapp,False,2021-01-24 04:57:41,[],5,1,0,0,1,Swift,47115,0,0,1,0,21,0,0,0
dxc-technology/halstack-react,https://github.com/dxc-technology/halstack-react,False,2020-07-07 14:30:35,"['react', 'design-system', 'ux', 'cdk']",14,14,11,19,14,TypeScript,184261,86,8,24,20,5044,0,0,0
MilovanTomasevic/iOS-Swift-The-Complete-iOS-App-Development-Bootcamp,https://github.com/MilovanTomasevic/iOS-Swift-The-Complete-iOS-App-Development-Bootcamp,False,2021-04-22 20:19:19,"['ios13', 'swift5']",19,4,8,0,1,Swift,230681,0,0,1,0,44,0,0,0
devMEremenko/XcodeBenchmark,https://github.com/devMEremenko/XcodeBenchmark,False,2020-08-18 17:47:47,"['xcode', 'benchmark', 'swift', 'cocoapods']",2168,42,263,0,80,Swift,162956,215,76,4,0,343,1,0,0
sergiomb2/VirtualBox,https://github.com/sergiomb2/VirtualBox,False,2020-05-24 23:10:52,[],7,4,3,0,0,C,881228,0,0,1,0,97258,0,0,0
