Repo,Link,Archived,Creation Date,First Activity Date,Last Activity Date,Topics,#Star,#Watch,#Fork,#Releases,#Contributors,Language,Size,#Issues,#Pull Requests,#Branches,#Commits,#Comments,#Deployments
EvilPsyCHo/Deep-Time-Series-Prediction,https://github.com/EvilPsyCHo/Deep-Time-Series-Prediction,False,2019-10-21 06:53:07,2020-06-08 09:30:40,2021-12-27 09:25:26,"['attention', 'wavenet', 'seq2seq', 'time-series-forecasting', 'series-prediction', 'regression', 'deep-learning', 'toturial', 'pytorch', 'lstm', 'kaggle', 'bert']",397,13,70,0,1,Python,4782,9,0,2,8,0,0
sharpenb/Differentiable-DAG-Sampling,https://github.com/sharpenb/Differentiable-DAG-Sampling,False,2021-10-04 14:58:12,2021-10-04 15:03:40,2022-03-16 10:28:33,[],24,2,4,0,1,C++,2976,1,1,1,7,0,0
kikojay/EMC,https://github.com/kikojay/EMC,False,2021-10-26 19:05:19,2022-01-20 10:48:23,2022-01-26 12:50:58,[],20,1,2,0,1,Python,769,1,0,2,7,0,0
BorgwardtLab/mgp-tcn,https://github.com/BorgwardtLab/mgp-tcn,False,2019-04-16 08:12:27,2019-07-08 16:38:58,2021-08-25 14:40:39,[],53,8,20,0,3,Python,120,16,11,2,25,0,0
Rhyssiyan/DER-ClassIL.pytorch,https://github.com/Rhyssiyan/DER-ClassIL.pytorch,False,2021-03-29 06:34:15,2021-03-29 06:34:16,2021-10-29 07:11:41,[],103,9,16,0,2,Python,56,22,0,1,5,0,0
BorgwardtLab/Neural-Persistence,https://github.com/BorgwardtLab/Neural-Persistence,False,2019-02-21 08:38:13,2019-02-21 08:38:13,2019-02-25 15:37:38,"['algebraic-topology', 'persistent-homology', 'deep-learning', 'neural-networks', 'iclr2019', 'iclr', 'machine-learning']",22,9,6,0,2,Python,13,1,0,1,8,0,0
flyyufelix/sonic_contest,https://github.com/flyyufelix/sonic_contest,False,2018-06-12 04:45:05,2018-06-12 04:45:05,2018-08-20 08:20:55,[],30,2,7,0,1,Python,89198,2,0,1,4,0,0
uclnlp/jack,https://github.com/uclnlp/jack,False,2016-07-18 21:58:04,2016-07-18 21:58:04,2018-10-24 16:23:16,"['deep-learning', 'natural-language-processing', 'tensorflow', 'question-answering', 'knowledge-base', 'natural-language-inference']",255,29,84,1,18,Python,29413,398,95,19,2425,21,936
fgnt/sins,https://github.com/fgnt/sins,False,2019-10-21 13:51:01,2019-10-21 13:55:32,2022-10-28 06:02:01,[],7,2,1,0,2,Python,2574,2,1,1,18,0,0
dvl-tum/mot_neural_solver,https://github.com/dvl-tum/mot_neural_solver,False,2020-03-30 22:20:15,2020-03-30 22:20:16,2022-04-13 09:59:24,"['multi-object-tracking', 'graph-neural-networks', 'pytorch']",318,22,67,0,1,Python,3432,43,4,1,22,0,0
