Repo,Link,Archived,Creation Date,First Activity Date,Last Activity Date,Topics,#Star,#Watch,#Fork,#Releases,#Contributors,Language,Size,#Issues,#Pull Requests,#Branches,#Commits,#Comments,#Deployments
numenta/nupic.research,https://github.com/numenta/nupic.research,False,2019-04-11 20:25:23,2016-09-23 18:51:21,2022-05-31 19:11:27,[],95,29,47,0,20,Jupyter Notebook,68040,645,635,2,4743,3,0
cebes/hyper-optimizer,https://github.com/cebes/hyper-optimizer,False,2017-08-09 20:39:13,2017-08-09 20:39:13,2017-09-03 20:44:09,"['hyper-parameter-optimization', 'hyper-parameter-tuning', 'bayesian-optimization', 'machine-learning', 'python']",6,2,0,0,1,Jupyter Notebook,1492,0,0,1,20,0,0
reddy-lab-code-research/StructCoder,https://github.com/reddy-lab-code-research/StructCoder,False,2022-06-09 15:50:40,2022-06-02 08:43:38,2022-06-13 05:14:53,[],17,2,4,0,1,Python,8188,1,0,1,10,0,0
DLR-SC/repository-synergy,https://github.com/DLR-SC/repository-synergy,False,2021-05-08 07:51:57,2021-05-08 07:51:57,2021-05-08 20:43:36,[],6,6,6,0,1,Jupyter Notebook,103486,1,0,1,8,0,0
HuantWang/SUPERSONIC,https://github.com/HuantWang/SUPERSONIC,False,2022-01-25 14:42:53,2022-04-04 23:56:28,2022-04-04 23:56:28,"['deep-reinforcement-learning', 'reinforcement-learning', 'compiler-optimization', 'code-optimization']",112,2,10,0,1,Python,241321,3,2,3,1,0,13
IntelLabs/Model-Compression-Research-Package,https://github.com/IntelLabs/Model-Compression-Research-Package,False,2021-09-01 15:26:12,2021-09-01 15:26:13,2022-08-03 23:40:38,[],92,10,19,1,4,Python,126,15,7,3,13,0,0
july-ML6-final-project/quora-question-pairs,https://github.com/july-ML6-final-project/quora-question-pairs,False,2018-12-18 03:12:14,2018-12-18 03:12:14,2019-01-11 00:25:36,[],13,2,10,0,3,Jupyter Notebook,3478,1,0,1,14,0,0
wwang2/CoarseGrainingVAE,https://github.com/wwang2/CoarseGrainingVAE,False,2021-06-08 18:47:52,2021-06-08 20:36:59,2022-06-15 14:48:42,[],19,4,3,0,1,Python,592,1,0,1,618,0,0
torchmd/mdgrad,https://github.com/torchmd/mdgrad,False,2020-08-15 22:03:52,2020-01-20 22:48:58,2022-09-05 05:23:16,"['quantum-dynamics', 'molecular-dynamics', 'statistical-mechanics', 'physics-simulation', 'chemistry', 'graph-neural-networks', 'polymer', 'force-field-optimization', 'differentiable-simulations', 'quantum-isomerization']",130,7,10,0,2,Python,225049,4,3,3,577,0,0
AskNowQA/DeepShallowParsingQA,https://github.com/AskNowQA/DeepShallowParsingQA,False,2018-09-17 08:40:28,2018-09-17 08:40:28,2021-02-16 16:15:20,[],5,6,4,0,1,Python,267,40,39,29,305,0,0
intel/neural-compressor,https://github.com/intel/neural-compressor,False,2020-07-21 23:49:56,2020-06-16 11:55:39,2022-11-25 05:56:59,"['low-precision', 'pruning', 'sparsity', 'auto-tuning', 'knowledge-distillation', 'quantization', 'quantization-aware-training', 'post-training-quantization', 'deep-learning']",689,23,119,26,79,Python,142035,165,86,24,2140,0,111
shashiongithub/Document-Models-with-Ext-Information,https://github.com/shashiongithub/Document-Models-with-Ext-Information,False,2018-05-11 10:11:30,2018-05-11 10:11:31,2018-11-10 14:45:32,[],6,4,2,0,2,Python,134,3,0,1,16,0,0
huggingface/transformers,https://github.com/huggingface/transformers,False,2018-10-29 13:56:00,2018-10-29 13:56:02,2022-11-23 20:09:21,"['nlp', 'natural-language-processing', 'pytorch', 'language-model', 'tensorflow', 'bert', 'language-models', 'pytorch-transformers', 'nlp-library', 'transformer', 'model-hub', 'pretrained-models', 'jax', 'flax', 'seq2seq', 'speech-recognition', 'hacktoberfest', 'python', 'machine-learning', 'deep-learning']",74792,859,17017,105,438,Python,113047,20365,9932,145,11414,292,0
brendonhall/augur.ai,https://github.com/brendonhall/augur.ai,False,2017-09-23 14:28:40,2017-09-23 14:31:48,2017-09-25 05:26:55,[],6,3,3,0,3,Jupyter Notebook,6636,0,0,1,40,0,25
learningmatter-mit/Segal,https://github.com/learningmatter-mit/Segal,False,2021-07-01 00:57:34,2021-07-01 01:06:09,2022-05-09 22:06:51,[],7,4,2,0,1,Jupyter Notebook,9387,0,0,1,91,0,0
XiangLi1999/Diffusion-LM,https://github.com/XiangLi1999/Diffusion-LM,False,2022-05-25 22:54:44,2022-05-25 22:54:45,2022-08-25 22:09:55,[],627,15,77,0,1,Python,47167,50,1,2,10,0,0
ulissigroup/GASpy_manuscript,https://github.com/ulissigroup/GASpy_manuscript,False,2018-07-23 21:09:02,2018-07-23 21:18:10,2019-03-17 16:16:18,[],11,2,10,0,1,Jupyter Notebook,28039,0,0,1,5,0,0
salesforce/CodeRL,https://github.com/salesforce/CodeRL,False,2022-06-30 02:54:36,2022-07-01 06:20:42,2022-11-18 16:14:28,"['ai', 'codegeneration', 'languagemodel', 'machinelearning', 'programsynthesis', 'reinforcementlearning']",193,14,22,0,3,Python,25395,18,11,10,39,0,0
sigopt/sigopt-sklearn,https://github.com/sigopt/sigopt-sklearn,False,2016-04-15 20:58:39,2016-04-15 20:58:39,2020-04-01 23:03:23,[],73,10,13,0,6,Python,123,36,32,2,191,3,0
ray-project/ray,https://github.com/ray-project/ray,False,2016-10-25 19:38:30,2016-02-07 22:18:40,2022-11-25 05:05:21,"['ray', 'distributed', 'parallel', 'machine-learning', 'reinforcement-learning', 'deep-learning', 'python', 'rllib', 'hyperparameter-search', 'optimization', 'data-science', 'automl', 'hyperparameter-optimization', 'model-selection', 'java', 'serving', 'deployment', 'pytorch', 'tensorflow']",22807,433,4014,61,426,Python,264405,30378,18279,238,15180,121,24
sigopt/sigopt-examples,https://github.com/sigopt/sigopt-examples,False,2015-02-24 03:29:25,2015-02-24 03:28:28,2022-11-22 21:41:46,[],196,32,64,0,23,Jupyter Notebook,18304,275,266,13,557,7,0
HabanaAI/Model-References,https://github.com/HabanaAI/Model-References,False,2020-08-18 06:45:50,2020-08-18 06:45:51,2022-11-14 15:04:20,[],66,29,34,0,2,Python,103362,27,8,20,4,0,0
