Repo,Link,Archived,Creation Date,First Activity Date,Last Activity Date,Topics,#Star,#Watch,#Fork,#Releases,#Contributors,Language,Size,#Issues,#Pull Requests,#Branches,#Commits,#Comments,#Deployments
thunlp/RE-Context-or-Names,https://github.com/thunlp/RE-Context-or-Names,False,2020-09-21 02:27:47,2020-09-21 03:01:07,2022-06-01 05:54:41,"['relation-extraction', 'pytorch', 'bert', 'contrastive-learning', 'pretrain']",92,8,19,0,1,Python,21987,21,0,1,41,0,0
zhaozj89/Educational-Question-Generation,https://github.com/zhaozj89/Educational-Question-Generation,False,2022-03-14 09:08:36,2022-03-14 09:11:37,2022-11-07 06:31:44,[],8,1,2,0,1,Python,8537,2,0,1,17,0,0
microsoft/fastformers,https://github.com/microsoft/fastformers,False,2020-08-28 07:32:22,2018-10-29 13:56:02,2022-05-18 22:07:52,[],669,19,46,2,395,Python,27414,22,4,2,4324,0,0
see--/natural-question-answering,https://github.com/see--/natural-question-answering,False,2020-01-15 11:19:50,2020-01-17 14:24:06,2020-03-12 21:38:56,[],77,3,21,1,2,Python,2623,9,2,1,13,0,0
CuongNN218/zalo_ltr_2021,https://github.com/CuongNN218/zalo_ltr_2021,False,2021-12-11 01:15:41,2021-12-11 01:15:41,2021-12-20 17:25:29,[],127,2,45,0,2,Python,10720,3,2,2,24,0,0
gorokoba560/norm-analysis-of-transformer,https://github.com/gorokoba560/norm-analysis-of-transformer,False,2020-10-03 06:06:27,2020-10-03 06:20:41,2021-11-06 11:14:38,[],50,3,11,0,1,Jupyter Notebook,20209,4,0,1,14,0,0
bhoov/exbert,https://github.com/bhoov/exbert,False,2019-10-14 02:01:13,2019-10-14 02:01:14,2021-06-02 14:26:18,[],513,12,45,0,4,Python,12906,33,16,18,156,0,0
giannisdaras/smyrf,https://github.com/giannisdaras/smyrf,False,2020-02-21 13:44:10,2020-02-21 13:44:11,2020-10-13 00:18:58,[],45,2,5,1,1,Python,13835,4,0,2,323,0,0
valohai/qlearning-simple,https://github.com/valohai/qlearning-simple,False,2019-02-05 12:54:33,2019-02-05 12:54:33,2020-05-02 11:26:47,[],68,10,31,0,2,Python,15,8,7,2,15,0,0
INK-USC/CommonGen,https://github.com/INK-USC/CommonGen,False,2020-01-30 05:03:14,2020-01-30 05:02:59,2021-12-09 02:28:25,"['natural-language-processing', 'commonsense-reasoning', 'nlg-dataset', 'natural-language-generation', 'language-generation-dataset', 'machine-reasoning', 'deep-learning', 'text-generation', 'nlp-datasets']",116,9,21,0,2,Python,111953,9,9,3,12,1,0
intel/neural-compressor,https://github.com/intel/neural-compressor,False,2020-07-21 23:49:56,2020-06-16 11:55:39,2022-11-22 04:16:01,"['low-precision', 'pruning', 'sparsity', 'auto-tuning', 'knowledge-distillation', 'quantization', 'quantization-aware-training', 'post-training-quantization', 'deep-learning']",671,25,118,26,79,Python,134489,133,54,12,2114,0,94
uds-lsv/bert-stable-fine-tuning,https://github.com/uds-lsv/bert-stable-fine-tuning,False,2020-06-08 15:13:32,2020-06-08 15:13:34,2020-06-11 16:41:15,"['nlp', 'bert', 'fine-tuning']",124,12,18,0,1,Python,3142,5,0,1,10,0,0
qcwthu/Lifelong-Fewshot-Language-Learning,https://github.com/qcwthu/Lifelong-Fewshot-Language-Learning,False,2022-02-10 01:52:30,2022-02-10 01:52:31,2022-02-17 00:47:52,"['pytorch', 'lifelong-learning']",40,3,6,0,1,Python,27069,1,0,2,33,0,0
