Repo,Link,Archived,Creation Date,First Activity Date,Last Activity Date,Topics,#Star,#Watch,#Fork,#Releases,#Contributors,Language,Size,#Issues,#Pull Requests,#Branches,#Commits,#Comments,#Deployments
GoogleCloudPlatform/vertex-ai-samples,https://github.com/GoogleCloudPlatform/vertex-ai-samples,False,2021-05-27 00:06:43,2021-06-01 21:43:08,2022-11-22 01:44:13,"['samples', 'gcp', 'google-cloud-platform', 'vertex-ai', 'notebook', 'python', 'ai', 'ml', 'data-science', 'mlops']",514,32,353,0,81,Jupyter Notebook,39411,1276,1177,339,1320,0,0
GoogleCloudPlatform/python-docs-samples,https://github.com/GoogleCloudPlatform/python-docs-samples,False,2015-05-04 23:26:13,2013-01-14 15:57:50,2022-11-19 00:18:04,"['python', 'samples']",5931,301,5835,0,405,Jupyter Notebook,177652,8521,5979,52,7526,65,0
statmike/vertex-ai-mlops,https://github.com/statmike/vertex-ai-mlops,False,2021-07-16 00:26:08,2021-04-01 16:06:54,2022-11-16 11:40:47,"['machine-learning', 'deep-learning', 'gcp', 'gcp-vertex-ai', 'mlops', 'mlops-workflow', 'mlops-template']",109,9,54,0,4,Jupyter Notebook,518016,15,10,1,560,0,0
kweinmeister/notebooks,https://github.com/kweinmeister/notebooks,False,2019-02-25 19:48:34,2019-02-25 19:50:10,2021-07-27 02:13:11,"['notebook', 'python', 'machine-learning', 'tensorflow']",5,1,1,0,1,Jupyter Notebook,455,0,0,1,14,0,0
DigitalProductschool/AI-Makerspace,https://github.com/DigitalProductschool/AI-Makerspace,False,2022-01-10 12:10:13,2022-01-10 12:10:14,2022-11-10 14:06:41,[],20,9,12,0,9,JavaScript,233507,61,61,4,263,0,0
sayakpaul/Dual-Deployments-on-Vertex-AI,https://github.com/sayakpaul/Dual-Deployments-on-Vertex-AI,False,2021-07-29 07:47:51,2021-07-29 07:47:52,2021-12-28 09:04:30,"['vertex-ai', 'mlops', 'tfx', 'kubeflow', 'gcp', 'automl', 'tensorflow', 'keras']",34,6,7,0,2,Jupyter Notebook,1930,7,4,5,66,0,0
apache/airflow,https://github.com/apache/airflow,False,2015-04-13 18:04:58,2014-10-06 21:29:38,2022-11-22 02:10:47,"['airflow', 'apache', 'apache-airflow', 'python', 'scheduler', 'workflow', 'hacktoberfest']",28237,765,11573,57,418,Python,201679,25365,18956,47,18079,465,0
jarokaz/merlin-on-vertex,https://github.com/jarokaz/merlin-on-vertex,False,2021-07-17 15:35:10,2021-07-17 15:35:11,2021-12-10 20:50:16,[],8,5,4,1,4,Jupyter Notebook,146158,1,1,4,364,2,0
superwise-ai/vertex-pipeline,https://github.com/superwise-ai/vertex-pipeline,False,2022-03-27 08:06:13,2022-03-27 08:06:14,2022-04-17 12:22:56,[],6,2,0,0,1,Jupyter Notebook,6145,2,2,2,12,0,0
ksalama/ucaip-labs,https://github.com/ksalama/ucaip-labs,False,2021-03-15 22:31:26,2021-03-15 22:31:26,2021-10-14 16:56:57,[],47,9,13,0,2,Jupyter Notebook,1953,18,16,5,315,0,0
DataBiosphere/terra-examples,https://github.com/DataBiosphere/terra-examples,False,2019-04-16 21:37:27,2019-04-18 16:54:29,2022-10-18 21:10:27,[],7,31,7,2,8,Jupyter Notebook,35370,51,47,3,48,0,0
deepmind/launchpad,https://github.com/deepmind/launchpad,False,2021-02-18 15:16:49,2021-02-15 12:39:33,2022-11-17 15:09:34,[],279,16,24,0,17,Python,642,29,3,10,330,0,0
bazelbuild/rules_python,https://github.com/bazelbuild/rules_python,False,2017-08-29 16:05:33,2017-08-11 17:06:19,2022-11-21 10:54:47,"['python', 'bazel', 'bazel-rules', 'python-2', 'python2', 'python3', 'python-3', 'python27', 'pip', 'pypi', 'pypi-packages']",389,59,394,20,92,Starlark,10130,893,517,19,532,17,167
keti-dp/OpenESS,https://github.com/keti-dp/OpenESS,False,2021-07-12 10:32:53,2021-07-12 10:32:54,2022-11-22 06:39:48,"['opensource', 'energy', 'storage', 'system', 'ess', 'enerystoragesystem']",19,4,13,0,10,Jupyter Notebook,104897,16,13,4,186,0,114
GoogleCloudPlatform/vertex-pipelines-end-to-end-samples,https://github.com/GoogleCloudPlatform/vertex-pipelines-end-to-end-samples,False,2022-03-21 22:37:29,2022-03-23 21:43:51,2022-11-10 22:57:09,[],81,10,32,0,6,Python,1346,17,15,1,14,0,0
