Repo,Link,Archived,Creation Date,First Activity Date,Last Activity Date,Topics,#Star,#Watch,#Fork,#Releases,#Contributors,Language,Size,#Issues,#Pull Requests,#Branches,#Commits,#Comments,#Deployments
hotpotqa/hotpotqa.github.io,https://github.com/hotpotqa/hotpotqa.github.io,FALSE,8/27/2018 0:01,8/27/2018 0:03,9/7/2022 3:01,[],5,5,4,0,3,HTML,13341,2,1,1,183,0,183
stanfordnlp/coqa-baselines,https://github.com/stanfordnlp/coqa-baselines,FALSE,9/15/2018 2:17,9/15/2018 2:17,4/22/2020 20:59,[],172,15,50,0,3,Python,75,16,1,2,46,0,0
percyliang/sempre,https://github.com/percyliang/sempre,FALSE,9/18/2013 6:59,9/18/2013 7:10,3/3/2022 18:25,[],809,71,306,3,15,Java,11402,230,57,14,446,0,0
shidi1985/L2RPN,https://github.com/shidi1985/L2RPN,FALSE,7/6/2019 1:23,7/6/2019 1:24,10/2/2019 18:57,[],47,3,22,0,2,Python,109652,15,11,4,14,0,0
wa3dbk/ScribeSalad,https://github.com/wa3dbk/ScribeSalad,FALSE,12/1/2018 0:10,12/1/2018 0:10,11/15/2022 22:15,"['youtube-video', 'youtube-videos-transcripts', 'joe-rogan-experience', 'jordan-b-peterson', 'artificial-intelligence', 'history', 'social-issues', 'politics', 'yalecourses', 'science', 'video', 'multilingual', 'transcripts']",44,8,24,0,1,,11129661,2,2,2,2263,0,0
trevorlinton/webkit.js,https://github.com/trevorlinton/webkit.js,FALSE,1/16/2014 9:54,1/16/2014 10:59,12/28/2018 7:50,[],1925,93,88,0,6,,840022,52,10,2,205,2,0
ad-si/RosettaGit,https://github.com/ad-si/RosettaGit,FALSE,10/26/2019 23:41,10/26/2019 23:40,1/2/2020 23:21,"['chrestomathy', 'polyglot', 'omniglot', 'comparison', 'programming-languages']",183,12,13,0,4,HTML,68419,31,5,1,45,0,0
stunback/yolox_for_cann_atlas200dk,https://github.com/HITSZ-NRSL/yolox_for_cann_atlas200dk,FALSE,7/31/2021 3:20,7/31/2021 4:02,8/9/2021 3:36,[],12,1,4,0,1,Python,19140,1,0,1,3,0,0
AnanyaKumar/transfer_learning,https://github.com/AnanyaKumar/transfer_learning,FALSE,11/24/2020 19:54,11/18/2020 6:47,11/11/2022 21:15,[],22,6,3,0,1,Python,5499,3,2,2,103,0,0
bq/aquaris-M10-FHD,https://github.com/bq/aquaris-M10-FHD,FALSE,2/1/2016 18:19,10/20/2016 12:03,1/2/2018 12:19,[],5,10,8,0,0,C,332295,4,2,2,6,0,0
ArctiqTeam/community-events,https://github.com/ArctiqTeam/community-events,FALSE,6/5/2018 11:40,6/5/2018 11:40,11/12/2020 14:18,[],7,6,11,0,5,JavaScript,33730,10,10,9,58,0,0
OhadRubin/SmBop,https://github.com/OhadRubin/SmBop,FALSE,3/23/2021 12:13,4/13/2021 7:57,8/10/2021 8:37,[],82,3,33,0,5,Python,81,56,13,3,42,0,0
futurulus/coop-nets,https://github.com/futurulus/coop-nets,FALSE,12/21/2015 3:17,12/10/2015 18:44,3/31/2018 5:04,[],10,6,4,0,6,OpenEdge ABL,52980,23,10,13,815,1,0
fedir/ghstat,https://github.com/fedir/ghstat,FALSE,3/10/2018 13:36,3/10/2018 11:46,11/14/2020 21:10,"['github-api', 'golang', 'statistics']",13,3,1,5,1,Go,61314,24,0,1,340,0,0
ucb-bar/hammer,https://github.com/ucb-bar/hammer,FALSE,7/13/2016 19:26,10/23/2017 4:40,11/4/2022 21:06,[],157,29,37,0,19,Python,5550,686,363,56,604,18,0
KusionStack/KCLVM,https://github.com/KusionStack/KCLVM,FALSE,5/5/2022 7:02,5/5/2022 7:02,11/15/2022 10:03,"['record', 'configuration', 'functional', 'policy', 'language', 'rust', 'programming-languages', 'configuration-language', 'as-code', 'compiler']",134,2,23,8,8,Rust,4000,294,187,1,187,5,0
SiCKRAGE/SiCKRAGE,https://github.com/SiCKRAGE/SiCKRAGE,FALSE,3/10/2014 5:20,3/10/2014 5:18,9/26/2022 17:40,"['sickrage', 'nzb', 'season', 'official', 'torrent', 'tv', 'sickbeard', 'episode']",1517,164,694,0,188,Python,650156,2670,2670,2,12696,517,0
stanfordnlp/phrasenode,https://github.com/stanfordnlp/phrasenode,FALSE,8/27/2018 5:14,8/28/2018 5:11,7/26/2022 16:39,[],31,12,12,0,3,Python,265,10,3,1,30,0,0
p-lambda/verified_calibration,https://github.com/p-lambda/verified_calibration,FALSE,10/21/2019 0:45,10/21/2019 0:45,11/10/2022 22:09,"['uncertainty-calibration', 'calibration-library', 'ece', 'calibration', 'toolbox', 'metrics']",95,5,15,0,3,Python,54923,12,3,1,40,0,0
taolusi/chisp,https://github.com/taolusi/chisp,FALSE,8/14/2019 6:56,10/23/2019 14:49,3/12/2021 11:59,[],103,8,12,0,1,Python,43,13,0,1,5,0,0
boslbi92/CoQA,https://github.com/boslbi92/CoQA,FALSE,2/28/2019 21:06,2/28/2019 21:06,4/16/2019 23:57,[],6,3,2,0,1,Python,23306,1,1,1,174,0,0
