Repo,Link,Archived,Creation Date,First Activity Date,Last Activity Date,Topics,#Star,#Watch,#Fork,#Releases,#Contributors,Language,Size,#Issues,#Pull Requests,#Branches,#Commits,#Comments,#Deployments
JimmyWhitaker/label-studio-pach,https://github.com/JimmyWhitaker/label-studio-pach,FALSE,12/22/2020 15:27,12/22/2020 16:28,2/24/2021 1:44,[],10,2,0,0,1,Python,338,1,1,2,14,0,0
suneeta-mall/e2e-ml-on-k8s,https://github.com/suneeta-mall/e2e-ml-on-k8s,FALSE,11/16/2019 10:41,11/16/2019 10:42,11/22/2020 1:25,"['reproducibility', 'machine-learning', 'tensorflow', 'kubernetes', 'pachyderm', 'kubeflow']",7,2,2,0,0,Python,1435,1,1,1,2,0,0
determined-ai/works-with-determined,https://github.com/determined-ai/works-with-determined,FALSE,6/26/2020 22:38,6/26/2020 22:38,10/25/2022 13:29,[],33,9,19,0,8,Python,21491,14,13,11,107,0,0
SAME-Project/same-project,https://github.com/SAME-Project/same-project,FALSE,8/25/2021 16:49,8/25/2021 16:49,10/5/2022 15:59,[],16,5,7,0,8,Python,30194,185,97,34,425,5,190
dvoitekh/mlops_workshops,https://github.com/dvoitekh/mlops_workshops,FALSE,6/8/2022 18:57,6/17/2022 19:57,7/1/2022 21:06,[],10,3,7,0,1,Jupyter Notebook,1236,5,5,2,10,0,0
pachyderm/examples,https://github.com/pachyderm/examples,FALSE,9/21/2020 20:40,10/8/2020 18:29,11/7/2022 18:48,[],40,29,11,2,7,Jupyter Notebook,243464,45,44,16,180,0,0
fla-sil/PyTorrent,https://github.com/fla-sil/PyTorrent,FALSE,1/10/2021 20:30,1/10/2021 20:30,6/1/2022 1:44,[],29,2,20,0,4,,844788,12,11,1,54,0,0
PipelineAI/pipeline,https://github.com/PipelineAI/pipeline,FALSE,7/8/2015 3:49,11/28/2018 23:38,10/25/2022 23:01,"['machine-learning', 'artificial-intelligence', 'tensorflow', 'kubernetes', 'cassandra', 'spark', 'kafka', 'airflow', 'docker', 'redis', 'neural-network', 'gpu', 'pipelineai', 'tfx', 'keras', 'kubeflow', 'pytorch', 'scikit-learn']",4138,350,991,0,2,Jsonnet,94806,302,48,1,610,2,649
KI-labs/kaos,https://github.com/KI-labs/kaos,FALSE,10/17/2019 12:53,10/18/2019 9:14,2/4/2020 10:00,"['ml', 'platform', 'kaos', 'terraform', 'kubernetes', 'pachyderm', 'python', 'cloud-agnostic']",88,10,9,1,8,Python,24592,125,57,24,34,0,0
itssimon/pachypy,https://github.com/itssimon/pachypy,FALSE,3/11/2019 12:55,3/11/2019 12:50,8/6/2021 0:56,"['pachyderm', 'python']",9,2,2,5,2,Python,435,4,1,1,293,0,0
pachyderm/pachyderm-gha,https://github.com/pachyderm/pachyderm-gha,FALSE,8/27/2020 23:47,8/27/2020 23:47,1/23/2022 16:14,"['github-actions', 'data-provenance', 'ci', 'pachyderm']",5,30,6,0,3,Python,761,4,4,3,26,0,0
SeldonIO/seldon-core,https://github.com/SeldonIO/seldon-core,FALSE,12/20/2017 14:51,2/21/2017 11:14,11/17/2022 13:29,"['kubernetes', 'machine-learning', 'deployment', 'serving', 'mlops', 'aiops', 'machine-learning-operations', 'production-machine-learning']",3471,77,720,49,150,HTML,220716,4447,2410,295,7184,20,6455
pachyderm/pachyderm,https://github.com/pachyderm/pachyderm,FALSE,9/4/2014 7:50,9/4/2014 7:50,11/15/2022 22:36,"['go', 'pachyderm', 'docker', 'analytics', 'big-data', 'containers', 'distributed-systems', 'kubernetes', 'data-science', 'data-analysis']",5683,167,538,345,153,Go,305602,8367,5293,1120,21436,31,1
pachyderm/ambient-music-generation,https://github.com/pachyderm/ambient-music-generation,FALSE,4/9/2020 13:32,6/7/2020 21:49,8/18/2020 16:49,[],105,8,20,0,2,Dockerfile,414861,35,31,6,42,0,0
red-hat-data-services/ods-ci,https://github.com/red-hat-data-services/ods-ci,FALSE,12/11/2020 20:35,12/11/2020 20:40,11/15/2022 9:10,[],7,9,38,18,22,RobotFramework,7710,623,608,34,868,14,0
pachyderm/python-pachyderm,https://github.com/pachyderm/python-pachyderm,FALSE,2/1/2017 14:15,2/1/2017 14:15,9/27/2022 20:03,"['pachyderm', 'python', 'python-bindings']",82,26,27,9,28,Python,18138,412,266,19,893,1,183
pachyderm/pachyderm-actions,https://github.com/pachyderm/pachyderm-actions,FALSE,10/6/2020 23:06,10/6/2020 23:09,7/11/2022 18:30,[],7,11,4,2,3,Python,14,4,3,2,8,0,0
UbiOps/tutorials,https://github.com/UbiOps/tutorials,FALSE,12/2/2020 13:08,11/17/2022 13:41,11/17/2022 13:41,[],7,2,2,0,1,Jupyter Notebook,35365,1,0,1,1,0,0
StatCan/aaw-contrib-jupyter-notebooks,https://github.com/StatCan/aaw-contrib-jupyter-notebooks,FALSE,4/10/2020 3:23,4/10/2020 3:23,5/25/2022 14:58,"['daaas', 'jupyter', 'notebooks', 'aaw', 'kubernetes']",8,12,8,0,11,Jupyter Notebook,6435,49,32,9,77,0,0
NEONScience/NEON-IS-data-processing,https://github.com/NEONScience/NEON-IS-data-processing,FALSE,10/31/2019 21:55,10/31/2019 21:55,11/15/2022 21:20,[],10,14,6,0,14,R,25884,148,146,15,2789,2,0
