Repo,Link,Archived,Creation Date,First Activity Date,Last Activity Date,Topics,#Star,#Watch,#Fork,#Releases,#Contributors,Language,Size,#Issues,#Pull Requests,#Branches,#Commits,#Comments,#Deployments
CVMI-Lab/KDEP,https://github.com/CVMI-Lab/KDEP,FALSE,3/6/2022 9:24,3/6/2022 9:35,7/21/2022 9:07,[],52,2,7,0,1,Python,8151,7,5,2,15,0,0
granularai/fabric,https://github.com/granularai/fabric,FALSE,11/2/2018 10:03,11/2/2018 10:01,6/27/2021 9:25,"['change-detection', 'sentinel-2', 'satellite-imagery', 'deep-learning', 'cnn', 'unet', 'pytorch', 'unet-3d']",53,7,14,2,2,Python,204192,29,16,7,330,0,0
ad-freiburg/tokenization-repair,https://github.com/ad-freiburg/tokenization-repair,FALSE,4/3/2020 15:08,4/3/2020 16:26,8/23/2022 8:33,[],11,6,1,0,3,Python,4444,5,2,1,255,5,0
skyhiter/torchtext-ignite-demo,https://github.com/skyhiter/torchtext-ignite-demo,FALSE,5/22/2019 7:34,5/22/2019 11:59,5/29/2019 16:59,[],5,0,3,0,1,Python,68445,1,1,1,11,0,0
PanJinquan/Human-Keypoints-Detection,https://github.com/PanJinquan/Human-Keypoints-Detection,FALSE,4/16/2021 11:12,4/16/2021 11:13,2/27/2022 3:10,[],48,2,12,0,1,Python,150338,3,0,2,11,0,0
CVMI-Lab/DARS,https://github.com/CVMI-Lab/DARS,FALSE,7/23/2021 12:16,7/23/2021 12:16,10/12/2021 21:39,[],56,5,5,0,1,Python,797,7,1,2,15,0,0
fbuchert/fixmatch-pytorch,https://github.com/fbuchert/fixmatch-pytorch,FALSE,6/26/2021 15:36,7/2/2021 16:16,8/11/2021 13:56,"['machine-learning', 'deep-learning', 'computer-vision', 'semi-supervised-learning', 'image-classification']",5,1,0,0,1,Python,52,1,0,1,11,0,0
aisingapore/ml-project-cookiecutter-gcp,https://github.com/aisingapore/ml-project-cookiecutter-gcp,FALSE,10/31/2021 23:49,11/1/2021 0:07,10/6/2022 9:58,[],11,3,2,3,3,Jupyter Notebook,4011,1,1,3,154,0,19
pytorch/ignite,https://github.com/pytorch/ignite,FALSE,11/23/2017 17:31,11/24/2017 10:54,11/16/2022 22:52,"['pytorch', 'neural-network', 'python', 'machine-learning', 'deep-learning', 'metrics', 'hacktoberfest', 'closember']",4116,60,559,18,170,Python,51544,2748,1621,22,1487,16,1281
pkchat-focus/FoCus,https://github.com/pkchat-focus/FoCus,FALSE,1/12/2022 3:23,2/24/2022 11:02,10/7/2022 9:47,"['nlp', 'deep-learning', 'dialog', 'pytorch', 'chatbots', 'gpt2', 'bart', 'focus', 'conversational-ai', 'conversational-agents']",40,2,5,0,2,Python,640,4,1,1,39,0,0
nickyeolk/info_retrieve,https://github.com/nickyeolk/info_retrieve,FALSE,8/9/2019 14:47,8/9/2019 14:47,4/3/2020 7:03,[],22,3,5,0,4,Jupyter Notebook,833,12,12,7,315,0,0
polyaxon/sdks,https://github.com/polyaxon/sdks,FALSE,11/17/2017 15:29,11/17/2017 15:29,8/14/2022 15:23,"['client', 'api', 'instrumentation', 'tracking', 'kubernetes', 'machine-learning', 'model-management', 'instrumentation-agent', 'golang', 'java', 'typescript', 'go']",12,2,14,0,9,Java,7360,31,31,9,661,0,0
polyaxon/traceml,https://github.com/polyaxon/traceml,FALSE,5/15/2016 20:22,5/15/2016 20:23,11/9/2022 15:57,"['tensorflow', 'deep-learning', 'jupyter', 'python', 'pytorch', 'machine-learning', 'models', 'ui', 'visualization', 'matplotlib', 'plotly', 'bokeh', 'mlops', 'data-science', 'data-visualization', 'data-processing', 'data-profiling', 'tracking']",450,36,213,0,85,Python,123212,14,14,1,9759,0,0
SunJackson/SunJackson.github.io,https://github.com/SunJackson/SunJackson.github.io,FALSE,7/23/2018 8:46,7/19/2018 11:57,9/7/2019 20:01,"['blog', 'page']",12,2,6,0,2,JavaScript,50116,1,1,1,537,0,205
polyaxon/charts,https://github.com/polyaxon/charts,FALSE,1/17/2018 1:58,10/12/2017 14:20,8/22/2022 16:58,"['kubernetes', 'helm', 'helm-charts', 'deep-learning', 'tensorflow', 'pytorch', 'scikit-learn', 'machine-learning', 'polyaxon', 'helm-chart', 'mlops', 'gitops', 'k8s', 'distributed-systems']",32,6,44,0,19,Smarty,1134,52,36,2,764,0,0
polyaxon/polyaxon-quick-start,https://github.com/polyaxon/polyaxon-quick-start,FALSE,12/29/2017 13:18,12/29/2017 13:18,3/12/2022 10:35,"['polyaxon', 'kubernetes', 'machine-learning', 'deep-learning', 'tensorflow', 'pytorch', 'neural-network', 'reproducible-research']",30,2,12,0,4,Python,83,3,3,2,100,0,0
fla-sil/PyTorrent,https://github.com/fla-sil/PyTorrent,FALSE,1/10/2021 20:30,1/10/2021 20:30,6/1/2022 1:44,[],29,2,20,0,4,,844788,12,11,1,54,0,0
ddysher/arsenal,https://github.com/ddysher/arsenal,FALSE,2/10/2019 13:52,2/10/2019 13:54,2/12/2019 13:18,"['cloud', 'machine-learning', 'notes']",26,4,8,0,1,Jsonnet,50689,6,6,5,2,0,0
danielfrg/danielfrg.com,https://github.com/danielfrg/danielfrg.com,FALSE,9/30/2013 21:31,9/30/2013 21:31,9/21/2022 15:57,[],20,2,5,0,2,HTML,25133,14,13,1,432,2,0
polyaxon/cli,https://github.com/polyaxon/cli,FALSE,8/18/2017 13:25,8/18/2017 13:55,11/16/2022 12:10,"['mlops', 'workflows', 'machine-learning', 'deep-learning', 'hyperparameter-optimization', 'tensorflow', 'pytorch', 'kubernetes', 'scikit-learn', 'dataops', 'data-science', 'ml']",18,3,19,0,10,Python,2155,37,37,1,725,1,0
aisingapore/sgnlp,https://github.com/aisingapore/sgnlp,FALSE,8/2/2021 1:47,8/1/2021 15:48,10/7/2022 6:24,[],17,2,9,6,6,Python,1958,62,30,4,499,0,0
polyaxon/schemas,https://github.com/polyaxon/schemas,FALSE,9/24/2017 15:30,8/29/2017 14:39,1/14/2022 19:03,"['polyaxon', 'polyaxon-schemas', 'polyaxonfile', 'deeplearning', 'kubernetes', 'minikube', 'tensorflow']",7,3,13,0,6,Python,1193,70,66,6,615,0,0
polyaxon/polyaxon,https://github.com/polyaxon/polyaxon,FALSE,12/26/2016 12:48,3/25/2016 22:01,11/11/2022 0:27,"['deep-learning', 'machine-learning', 'artificial-intelligence', 'data-science', 'reinforcement-learning', 'kubernetes', 'tensorflow', 'pytorch', 'keras', 'mxnet', 'caffe', 'ml', 'k8s', 'jupyter', 'notebook', 'jupyterlab', 'pipelines', 'workflow', 'mlops', 'hyperparameter-optimization']",3198,77,315,0,90,Python,126225,1456,398,16,10010,2,0
polyaxon/polyaxon-examples,https://github.com/polyaxon/polyaxon-examples,FALSE,1/12/2018 18:13,1/12/2018 18:13,5/22/2022 0:06,"['tensorflow', 'pytorch', 'mxnet', 'jupyter-notebook', 'deep-learning', 'polyaxon', 'kubernetes', 'machine-learning', 'deeplearning', 'nerual-network', 'horovod', 'scikit-learn', 'mpi', 'tfjob', 'kubeflow', 'pytorchjob', 'mpijob', 'keras', 'mlops']",64,5,24,0,9,Python,939,27,27,7,126,0,0
bgoonz/UsefulResourceRepo2.0,https://github.com/bgoonz/UsefulResourceRepo2.0,FALSE,7/3/2021 13:58,7/3/2021 16:46,8/11/2022 3:18,"['javascript', 'python', 'learning', 'nodejs', 'expressjs', 'website', 'web', 'devops', 'development', 'tools', 'python-3']",6,3,12,0,1,,10239100,37,36,23,1113,575,60
wanggrun/triplet,https://github.com/wanggrun/triplet,FALSE,6/21/2021 21:18,6/21/2021 21:18,5/22/2022 17:48,[],26,3,4,0,1,Python,188,6,0,1,62,0,0
polyaxon/haupt,https://github.com/polyaxon/haupt,FALSE,12/14/2018 15:47,4/2/2022 16:31,11/17/2022 0:30,"['s3', 'aws', 'gcs', 'gcp', 'sagemaker', 'tensorboard', 'notebook', 'jupyterlab', 'kaniko', 'automations', 'actions', 'sandbox']",30,2,4,0,1,Python,358,2,1,1,50,0,0
polyaxon/hypertune,https://github.com/polyaxon/hypertune,FALSE,12/10/2018 9:25,3/25/2016 22:01,11/9/2022 15:57,"['hyperparameter-optimization', 'hyperparameter-tuning', 'scikit-learn', 'machine-learning', 'mlops', 'workflow', 'data-science', 'deep-learning', 'numpy']",52,3,7,0,89,Python,123787,11,11,5,9770,0,0
hvdthong/RepoExtractor,https://github.com/hvdthong/RepoExtractor,FALSE,8/5/2018 9:01,8/5/2018 9:04,8/28/2018 2:04,[],15,4,9,0,1,Python,34371,2,0,1,12,0,0
shoarora/transformers-trainers,https://github.com/shoarora/transformers-trainers,FALSE,2/1/2020 22:50,2/1/2020 22:50,4/7/2020 3:16,[],26,5,2,1,1,Python,1154,15,12,15,146,0,0
honnibal/spacy-pretrain-polyaxon,https://github.com/honnibal/spacy-pretrain-polyaxon,FALSE,11/13/2018 0:50,11/13/2018 0:50,11/7/2021 12:04,[],64,12,9,0,1,Python,3033,5,2,1,89,1,0
ZhuFengdaaa/MG-AuxRN,https://github.com/ZhuFengdaaa/MG-AuxRN,FALSE,9/15/2020 12:23,10/7/2020 14:07,3/23/2021 3:45,[],20,1,2,0,1,C++,5520,3,0,1,3,0,0
johndpope/CryptoCurrencyTrader,https://github.com/johndpope/CryptoCurrencyTrader,FALSE,7/28/2017 11:31,7/16/2017 8:55,6/3/2021 21:32,[],52,7,114,0,3,Python,1283,5,5,4,63,1,0
ZhuFengdaaa/SOON,https://github.com/ZhuFengdaaa/SOON,FALSE,4/9/2021 15:44,7/31/2021 9:33,9/26/2021 23:47,[],9,1,0,0,1,C++,4762,7,0,2,6,0,0
hypnosapos/cartpole-rl-remote,https://github.com/hypnosapos/cartpole-rl-remote,FALSE,2/7/2018 14:32,10/30/2017 15:03,11/4/2020 15:28,"['machine-learning', 'keras-neural-networks', 'tensorflow', 'seldon', 'kubeflow', 'cartpole', 'artificial-intelligence', 'reinforcement-learning', 'keras', 'polyaxon', 'pytorch', 'seldon-core', 'qlearning', 'mlops', 'mlflow', 'kubernetes-cluster']",24,2,3,0,5,Python,84033,67,67,58,256,0,0
brunowego/cookbooks,https://github.com/brunowego/cookbooks,FALSE,11/8/2018 13:20,5/31/2019 20:18,11/17/2022 12:17,[],50,9,17,0,3,Go,13464,7,7,3,379,0,0
RosePasta/Denchmark_BRs,https://github.com/RosePasta/Denchmark_BRs,FALSE,1/11/2021 9:26,1/11/2021 9:35,8/4/2022 13:47,[],6,2,12,0,1,Jupyter Notebook,85145,1,0,1,21,0,0
