Repo,Link,Archived,Creation Date,Topics,#Star,#Watch,#Fork,#Releases,#Contributors,Languages,Size,#Open Issues,#Pull Requests,#Branches,#Tags,#Commits,#Comments,#Downloads,#Deployments,Category
fedeizzo/camera-pose-estimation,https://github.com/fedeizzo/camera-pose-estimation,FALSE,10/27/2021 9:58,"['deep-learning', 'python3', 'pytorch', 'camera-pose-estimation', 'colmap-sfm', 'colmap']",16,3,0,1,2,Jupyter Notebook,98138,1,0,1,1,143,0,0,0,Project
tinkoff-ai/eop,https://github.com/tinkoff-ai/eop,FALSE,5/27/2022 18:15,"['evaluation', 'offline-rl', 'reinforcement-learning', 'icml', 'icml-2022']",25,3,1,0,1,Jupyter Notebook,50643,0,0,2,0,3,0,0,3,Research
JeanKaddour/lawa,https://github.com/JeanKaddour/lawa,FALSE,9/29/2022 10:51,[],8,1,1,0,1,Python,934,0,0,1,0,10,0,0,0,Research
lucidrains/stylegan2-pytorch,https://github.com/lucidrains/stylegan2-pytorch,FALSE,1/9/2020 18:23,"['generative-adversarial-network', 'artificial-intelligence', 'pytorch', 'machine-learning', 'generative-model']",3283,67,539,89,8,Python,5140,121,3,3,90,210,1,0,0,Research
kookmin-sw/capstone-2022-15,https://github.com/kookmin-sw/capstone-2022-15,FALSE,2/14/2022 2:08,"['aws', 'mysql-database', 'react', 'django', 'stylegan2', 'wav2lip', 'librosa', 'opencv', 'interview', 'interview-practice']",4,2,2,0,6,Python,162951,0,0,14,0,1010,0,0,17,Project
Di-Is/stylegan2-ada-pytorch,https://github.com/Di-Is/stylegan2-ada-pytorch,FALSE,1/31/2021 4:23,[],17,3,1,0,1,Python,2243,0,0,1,0,1,0,0,0,Research
polixir/OfflineRL,https://github.com/polixir/OfflineRL,FALSE,2/18/2021 7:48,"['offline-reinforcement-learning', 'reinforcement-learning']",75,4,11,0,6,Python,239,4,1,2,0,130,0,0,0,Research
um-dsrg/Super-Resolution-Meta-Attention-Networks,https://github.com/um-dsrg/Super-Resolution-Meta-Attention-Networks,FALSE,7/1/2021 6:21,"['super-resolution', 'meta-attention', 'pytorch', 'python', 'deep-learning', 'image-restoration', 'convolutional-neural-networks']",17,3,1,0,2,Python,5310,0,0,1,0,14,0,0,0,Research
coqui-ai/Trainer,https://github.com/coqui-ai/Trainer,FALSE,10/11/2021 13:54,"['pytorch', 'deep-learning', 'machine-learning', 'ai', 'data-science']",43,7,23,12,7,Python,220,13,5,16,12,154,0,0,0,Tool
aimhubio/aim-spacy,https://github.com/aimhubio/aim-spacy,FALSE,3/23/2022 20:07,[],20,3,1,1,3,Python,92,0,0,3,2,32,0,0,0,Tool
facebookresearch/metaseq,https://github.com/facebookresearch/metaseq,FALSE,5/2/2022 22:09,[],3842,82,401,0,42,Python,24185,108,29,65,0,192,13,0,0,Project
artberryx/LSD,https://github.com/artberryx/LSD,FALSE,1/31/2022 15:09,[],15,3,3,0,1,Python,822,0,0,1,0,4,0,0,0,Research
jaekyeom/IBOL,https://github.com/jaekyeom/IBOL,FALSE,6/27/2021 10:56,[],23,2,2,0,2,Python,18879,1,0,1,0,3,0,0,0,Research
lucidrains/lightweight-gan,https://github.com/lucidrains/lightweight-gan,FALSE,11/11/2020 17:31,"['artificial-intelligence', 'deep-learning', 'generative-adversarial-network']",1428,32,202,101,11,Python,12515,58,0,5,102,211,3,0,0,Research
princeton-nlp/DinkyTrain,https://github.com/princeton-nlp/DinkyTrain,FALSE,4/25/2022 20:07,[],83,4,6,0,5,Python,12510,0,0,1,0,46,0,0,0,Research
