Repo,Link,Archived,Creation Date,Topics,#Star,#Watch,#Fork,#Releases,#Contributors,Languages,Size,#Open Issues,#Pull Requests,#Branches,#Tags,#Commits,#Comments,#Downloads,#Deployments
sigal-raab/MoDi,https://github.com/sigal-raab/MoDi,FALSE,6/7/2022 7:41,[],19,1,1,0,2,Python,9766,0,0,1,0,48,0,0,0
RizwanMunawar/yolov5-object-tracking,https://github.com/RizwanMunawar/yolov5-object-tracking,FALSE,9/11/2022 11:01,"['computer-vision', 'object-detection', 'object-tracking', 'streamlit-dashboard', 'yolov5']",16,1,3,1,1,Python,4363,0,0,1,1,14,0,0,0
kwz219/NPR4J,https://github.com/kwz219/NPR4J,FALSE,5/7/2022 10:54,[],8,3,2,0,2,Python,76573,4,0,1,1,128,0,0,0
allegroai/clearml-docs,https://github.com/allegroai/clearml-docs,FALSE,5/13/2021 23:36,[],6,5,21,0,17,JavaScript,130198,2,1,1,0,460,1,0,0
coqui-ai/STT,https://github.com/coqui-ai/STT,FALSE,3/4/2021 4:54,"['stt', 'speech-to-text', 'tensorflow', 'deep-learning', 'automatic-speech-recognition', 'asr', 'voice-recognition', 'speech-recognition', 'speech-recognizer', 'speech-recognition-api']",1575,50,155,32,155,C++,56000,92,8,25,158,4107,12,0,0
ecm200/caltech_birds,https://github.com/ecm200/caltech_birds,FALSE,6/20/2020 20:29,"['classification-model', 'pytorch-tutorial', 'cub-200-2011', 'feature-attribution', 'activation-maximization', 'manifold-learning', 'caltech-birds', 'deep-neural-networks', 'cnn', 'image-classification', 'deep-learning', 'machine-learning', 'pytorch']",34,2,7,18,1,Jupyter Notebook,306983,15,1,3,20,202,0,0,0
cubist38/AI4VN_VAIPE,https://github.com/cubist38/AI4VN_VAIPE,FALSE,7/18/2022 5:35,[],7,1,0,0,5,Python,120931,2,2,15,0,182,0,0,0
r0bin-dood/sbu-rezi,https://github.com/r0bin-dood/sbu-rezi,FALSE,9/19/2022 20:58,[],6,1,2,0,2,Python,96001,0,0,1,0,19,0,0,0
DoctorDream/mDIA,https://github.com/DoctorDream/mDIA,FALSE,8/18/2022 2:16,[],5,2,0,0,1,Python,110364,0,0,1,0,4,0,0,0
allegroai/clearml-session,https://github.com/allegroai/clearml-session,FALSE,12/22/2020 19:25,"['clearml', 'clearml-agent', 'k8s', 'mlops', 'jupyterlab', 'vscode']",8,4,6,10,4,Python,67,9,1,1,15,53,0,0,0
thepycoder/pushup_lockscreen,https://github.com/thepycoder/pushup_lockscreen,FALSE,12/22/2021 18:06,[],51,3,6,0,1,Python,47875,0,0,1,0,75,0,0,0
allegroai/clearml-web,https://github.com/allegroai/clearml-web,FALSE,6/10/2019 20:46,[],17,7,10,3,7,TypeScript,6674,6,1,12,3,43,0,0,0
okojoalg/sequencer,https://github.com/okojoalg/sequencer,FALSE,4/24/2022 16:24,[],101,2,17,1,1,Python,341,0,0,2,1,22,0,0,0
