Repo,Link,Archived,Creation Date,Topics,#Star,#Watch,#Fork,#Releases,#Contributors,Languages,Size,#Open Issues,#Pull Requests,#Branches,#Tags,#Commits,#Comments,#Downloads,#Deployments,Category
stanfordnlp/stanza-old,https://github.com/stanfordnlp/stanza-old,FALSE,10/27/2015 19:45,"['python', 'nlp', 'text-analysis', 'text-processing', 'natural-language-processing']",142,40,38,2,5,Python,392,1,0,4,3,323,0,0,0,
p-lambda/verified_calibration,https://github.com/p-lambda/verified_calibration,FALSE,10/21/2019 0:45,"['uncertainty-calibration', 'calibration-library', 'ece', 'calibration', 'toolbox', 'metrics']",92,5,14,0,2,Python,54915,2,1,1,0,37,0,0,0,
seominjoon/piqa,https://github.com/seominjoon/piqa,FALSE,8/25/2018 6:37,['emnlp2018'],90,7,9,0,2,Python,2095,6,0,3,0,103,0,0,69,
bapoczos/ArtML,https://github.com/bapoczos/ArtML,FALSE,2/22/2018 7:51,[],9,4,5,0,1,Jupyter Notebook,592887,0,0,1,0,80,0,0,0,
KevinWang96/Chip-Multi-processor-System-based-on-Cardinal-Bidirectional-Ring-Network-on-chip,https://github.com/KevinWang96/Chip-Multi-processor-System-based-on-Cardinal-Bidirectional-Ring-Network-on-chip,FALSE,3/7/2020 0:21,"['networkonchip', 'processor-design', 'verilog-hdl', 'synopsys-dc', 'cadence-ncverilog', 'cadence-conformal', 'multiprocessor']",9,2,3,0,1,Verilog,38625,0,0,2,0,11,0,0,0,
Blunk-electronic/M-1,https://github.com/Blunk-electronic/M-1,FALSE,10/27/2015 18:42,[],27,6,3,2,2,Ada,33386,2,0,4,3,647,0,0,0,
hpcc-systems/docker-hpcc,https://github.com/hpcc-systems/docker-hpcc,FALSE,4/17/2018 8:34,[],7,13,12,0,2,Shell,56,4,4,1,0,26,1,0,0,
ArctiqTeam/community-events,https://github.com/ArctiqTeam/community-events,FALSE,6/5/2018 11:40,[],7,6,11,0,5,JavaScript,33730,1,1,9,0,58,0,0,0,
rust11/rust,https://github.com/rust11/rust,FALSE,3/18/2015 5:18,"['pdp11', 'operating-system', 'emulator', 'pdp-11', 'rt-11']",9,4,2,0,2,C,87680,5,0,1,2,239,0,0,184,
wadehennessey/wcl,https://github.com/wadehennessey/wcl,FALSE,8/29/2015 21:31,[],69,13,8,0,1,Common Lisp,90780,4,0,1,0,82,0,0,0,
lvyiwei1/StylePTB,https://github.com/lvyiwei1/StylePTB,FALSE,3/30/2021 0:16,[],50,3,4,0,2,Python,12152,0,0,1,0,16,0,0,0,
rpgoldman/xmls,https://github.com/rpgoldman/xmls,FALSE,2/13/2020 2:24,[],15,2,3,0,5,Common Lisp,190,2,0,3,2,155,0,0,0,
kelvinguu/lang2program,https://github.com/kelvinguu/lang2program,FALSE,2/25/2017 7:15,[],63,7,20,0,3,Python,487,2,0,1,0,9,0,0,0,
hotpotqa/hotpotqa.github.io,https://github.com/hotpotqa/hotpotqa.github.io,FALSE,8/27/2018 0:01,[],5,5,4,0,3,HTML,13341,0,0,1,0,183,0,0,183,
mlufei/depot_tools,https://github.com/mlufei/depot_tools,FALSE,9/28/2015 4:03,[],8,4,12,0,65,Python,12040,0,0,2,0,2822,0,0,0,
thunlp/thunlp.github.io,https://github.com/thunlp/thunlp.github.io,FALSE,10/27/2018 7:32,[],10,8,3,0,3,HTML,5631,0,0,1,0,41,0,0,40,
microsoft/text-to-sql-schema-expansion-generalization,https://github.com/microsoft/text-to-sql-schema-expansion-generalization,FALSE,5/23/2022 14:52,[],12,6,2,0,4,Python,17568,0,0,1,0,11,0,0,0,
arm-hpc/papi,https://github.com/arm-hpc/papi,FALSE,10/24/2015 12:23,[],9,2,2,0,11,C,28316,0,0,35,152,6300,0,0,0,
OhadRubin/SmBop,https://github.com/OhadRubin/SmBop,FALSE,3/23/2021 12:13,[],82,3,33,0,5,Python,81,8,0,3,0,42,0,0,0,
graykode/KorQuAD-beginner,https://github.com/graykode/KorQuAD-beginner,FALSE,4/26/2019 11:00,"['bert', 'squad']",41,4,11,0,1,Python,8405,0,0,1,0,7,0,0,0,
Vertispan/j2clmavenplugin,https://github.com/Vertispan/j2clmavenplugin,FALSE,5/2/2019 11:19,[],35,10,20,2,12,Java,739,51,8,16,2,274,1,0,6,
ucb-bar/hammer,https://github.com/ucb-bar/hammer,FALSE,7/13/2016 19:26,[],156,28,37,0,19,Python,5314,206,15,56,1,602,18,0,0,
