Repo,Link,Archived,Creation Date,Topics,#Star,#Watch,#Fork,#Releases,#Contributors,Language,Size,#Open Issues,#Pull Requests,#Branches,#Tags,#Commits,#Comments,#Downloads,#Deployments
UETAILab/uetai,https://github.com/UETAILab/uetai,False,2021-08-16 15:53:34,"['ai', 'machine-learning', 'pytorch-lightning', 'data-analysis', 'experiment-tracking', 'model-debugging']",18,1,1,2,2,Python,2912,6,1,7,2,101,0,0,20
twistedcubic/attention-rank-collapse,https://github.com/twistedcubic/attention-rank-collapse,False,2021-03-03 18:34:30,[],129,6,11,0,1,Jupyter Notebook,1416,0,0,1,0,4,0,0,0
PUC-RecSys-Class/RecSysPUC-2021,https://github.com/PUC-RecSys-Class/RecSysPUC-2021,False,2021-08-16 20:32:25,[],19,7,4,0,8,Jupyter Notebook,208659,18,0,1,0,325,0,0,0
deep-spin/infinite-former,https://github.com/deep-spin/infinite-former,False,2022-03-01 10:49:11,[],17,4,0,0,1,Python,6692,7,7,9,0,5,0,0,0
guxd/DialogBERT,https://github.com/guxd/DialogBERT,False,2021-03-15 06:08:12,[],62,3,11,0,1,Python,9216,8,0,1,0,2,0,0,0
theDyingofLight/nqg-Unilm-tianchi,https://github.com/theDyingofLight/nqg-Unilm-tianchi,False,2020-10-23 14:07:20,[],10,1,2,0,1,Python,5860,1,0,1,0,3,0,0,0
ResidentMario/progressive-resizing,https://github.com/ResidentMario/progressive-resizing,False,2019-03-21 22:52:04,[],18,2,9,0,1,Jupyter Notebook,3775,2,0,1,0,24,0,0,0
talcron/frame-prediction-pytorch,https://github.com/talcron/frame-prediction-pytorch,False,2021-02-15 21:31:51,"['wgan', 'wgan-gp', 'gan', 'video-generation', 'ivgan', 'wasserstein-gan', 'frechet-inception-distance']",5,2,0,0,2,Python,189547,0,0,4,0,98,0,0,17
positive666/yolov5_research,https://github.com/positive666/yolov5_research,False,2021-02-25 11:02:17,"['yolov5', 'deepstream', 'pytorch', 'object-detection', 'attention-mechanism', 'swintransformer', 'custom-networ', 'yolov7']",461,9,123,0,97,Python,25574,2,0,1,0,1483,2,0,0
salesforce/CodeRL,https://github.com/salesforce/CodeRL,False,2022-06-30 02:54:36,"['ai', 'codegeneration', 'languagemodel', 'machinelearning', 'programsynthesis', 'reinforcementlearning']",185,13,21,0,3,Python,24930,11,9,10,0,32,0,0,0
satyajitghana/TSAI-DeepVision-EVA4.0-Phase-2,https://github.com/satyajitghana/TSAI-DeepVision-EVA4.0-Phase-2,False,2020-07-12 21:53:41,"['tsai-deepvision-eva4', 'eva4', 'phase2', 'tsai', 'deep-vision', 'computer-vision', 'pytorch', 'torchvision', 'aws', 'lambda', 'serverless', 'edge']",5,0,9,0,1,Jupyter Notebook,304945,42,41,42,0,107,0,0,93
PradeepNalluri/Prefix-Tuning-Bert,https://github.com/PradeepNalluri/Prefix-Tuning-Bert,False,2021-11-03 22:19:31,[],10,2,1,0,3,Python,13316,0,0,2,0,34,0,0,0
microsoft/AdaMix,https://github.com/microsoft/AdaMix,False,2022-05-24 22:52:02,"['adapter', 'nlp', 'pytorch', 'parameter-efficient', 'bert', 'glue', 'nlu', 'roberta']",43,4,5,0,4,Python,17423,11,11,12,0,20,0,0,0
dconathan/mtg-search,https://github.com/dconathan/mtg-search,False,2021-02-21 23:36:08,[],11,2,1,0,2,Python,202,0,0,2,0,80,0,0,0
ojedaf/IC-TIR-Lol,https://github.com/ojedaf/IC-TIR-Lol,False,2020-07-28 02:29:26,[],12,1,3,0,3,Jupyter Notebook,936,0,0,1,0,36,0,0,0
JiapengWu/TeMP,https://github.com/JiapengWu/TeMP,False,2019-11-18 19:00:34,[],40,2,16,0,2,Python,45881,7,0,3,0,42,0,0,0
emilygoodwin/systematicity,https://github.com/emilygoodwin/systematicity,False,2020-05-02 04:14:51,[],6,3,1,0,1,Jupyter Notebook,405,0,0,1,0,7,0,0,0
xlpczv/Semi_Siamese,https://github.com/xlpczv/Semi_Siamese,False,2022-02-06 06:46:01,[],6,2,0,0,1,Python,1801,3,0,1,0,4,0,0,0
hollygrimm/cyclegan-keras-art-attrs,https://github.com/hollygrimm/cyclegan-keras-art-attrs,False,2018-08-17 00:46:02,"['cyclegan', 'cyclegan-keras', 'deep-learning', 'neural-network', 'keras']",5,1,1,0,1,Python,3270,0,0,1,0,75,0,0,0
MorrisXu-Driving/Improving_DeepSpeech_2_by_RNN_Transducer_Pytorch_Implementation,https://github.com/MorrisXu-Driving/Improving_DeepSpeech_2_by_RNN_Transducer_Pytorch_Implementation,False,2020-07-02 03:49:46,"['deep-learning', 'pytorch', 'speech-recognition']",5,2,1,0,1,Python,366,1,0,1,0,30,0,0,0
qcwthu/Lifelong-Fewshot-Language-Learning,https://github.com/qcwthu/Lifelong-Fewshot-Language-Learning,False,2022-02-10 01:52:30,"['pytorch', 'lifelong-learning']",38,3,6,0,1,Python,27069,1,0,2,0,33,0,0,0
utcsilab/csgm-mri-langevin,https://github.com/utcsilab/csgm-mri-langevin,False,2021-07-09 08:31:40,[],45,4,8,0,4,Jupyter Notebook,1418,1,0,1,0,52,0,0,0
tomasmikeska/deep-colorization,https://github.com/tomasmikeska/deep-colorization,False,2019-08-08 22:00:41,"['image-colorization', 'keras', 'tensorflow', 'deep-learning', 'machine-learning', 'computer-vision']",6,1,2,0,1,Python,805,0,0,1,0,30,0,0,0
vitalab/neuralteleportation,https://github.com/vitalab/neuralteleportation,False,2020-07-30 14:53:36,"['deep-learning', 'representation-theory', 'quiver-representations', 'machine-learning', 'pytorch']",9,4,2,0,8,Python,19190,0,0,16,0,589,0,0,0
labmlai/labml,https://github.com/labmlai/labml,False,2018-11-16 09:34:48,"['machine-learning', 'deep-learning', 'pytorch', 'experiment', 'analytics', 'visualization', 'tensorboard', 'mobile', 'keras', 'tensorflow', 'tensorflow2', 'keras-tensorflow', 'pytorch-lightning', 'fastai']",1223,28,87,3,7,Jupyter Notebook,104734,18,2,2,3,1281,0,0,206
nikvaessen/w2v2-speaker,https://github.com/nikvaessen/w2v2-speaker,False,2021-09-27 09:33:05,[],99,6,9,0,2,Python,1139,5,0,1,0,15,0,0,0
MIRALab-USTC/KG-TACT,https://github.com/MIRALab-USTC/KG-TACT,False,2020-12-14 04:42:23,"['knowledge-graph', 'inductive-link-prediction']",22,3,5,0,1,Python,2739,1,0,1,0,9,0,0,0
violet-zct/swarm-distillation-zero-shot,https://github.com/violet-zct/swarm-distillation-zero-shot,False,2021-10-24 04:38:00,[],12,2,1,0,421,Python,81741,0,0,288,80,8702,0,0,0
junsukchoe/ADL,https://github.com/junsukchoe/ADL,False,2019-06-22 21:39:57,"['cvpr2019', 'weakly-supervised-learning', 'object-localization', 'class-activation-map']",181,7,37,0,0,Python,5299,2,0,1,0,3,0,0,0
anhtuan5696/TPAMTL,https://github.com/anhtuan5696/TPAMTL,False,2020-06-11 08:40:26,[],10,2,1,0,2,Python,8889,2,2,3,0,27,0,0,0
Divadi/detection-toolbox,https://github.com/Divadi/detection-toolbox,False,2020-05-22 22:09:58,[],11,2,2,0,1,Python,67,0,0,1,0,6,0,0,0
SchubertLab/mvTCR,https://github.com/SchubertLab/mvTCR,False,2021-02-17 09:16:52,[],20,4,1,0,3,Jupyter Notebook,119010,2,0,1,0,318,0,0,0
zensors/datatap-python,https://github.com/zensors/datatap-python,False,2020-12-01 15:58:39,"['dataset', 'machine-learning', 'datastructures', 'data-pipeline', 'deep', 'deeplearning', 'python', 'pytorch', 'tensorflow', 'training', 'trainsets', 'testset', 'cross-validation', 'resnet', 'dataloader']",38,6,3,0,2,Python,1203,1,0,1,0,126,0,0,0
aws-samples/mask-rcnn-tensorflow,https://github.com/aws-samples/mask-rcnn-tensorflow,False,2019-07-25 20:48:30,[],34,10,26,1,4,Jupyter Notebook,46948,2,0,4,1,185,1,0,0
zychen423/KE-VIST,https://github.com/zychen423/KE-VIST,False,2019-11-21 06:11:32,[],39,5,9,0,5,Jupyter Notebook,5548,0,0,1,0,69,0,0,0
slachapelle/disentanglement_via_mechanism_sparsity,https://github.com/slachapelle/disentanglement_via_mechanism_sparsity,False,2021-11-17 16:14:17,[],7,2,2,0,1,Jupyter Notebook,1568,0,0,1,0,2,0,0,0
