Repo,Link,Archived,Creation Date,Topics,#Star,#Watch,#Fork,#Releases,#Contributors,Languages,Size,#Open Issues,#Pull Requests,#Branches,#Tags,#Commits,#Comments,#Downloads,#Deployments,,,,,,,,,,,,,,,,
opendevstack/ods-project-quickstarters,https://github.com/opendevstack/ods-project-quickstarters,FALSE,7/27/2018 11:53,"['reactjs', 'nodejs', 'spring-boot', 'rshiny', 'python', 'jenkins-slave', 'scala', 'rundeck']",10,35,20,0,26,Shell,6792,1,1,8,8,541,0,0,0,,,,,,,,,,,,,,,,
crplab/cdst,https://github.com/crplab/cdst,FALSE,10/21/2019 9:36,"['cookiecutter-template', 'python3', 'data-science-projects']",6,4,1,0,1,Python,62,0,0,1,0,12,0,0,12,,,,,,,,,,,,,,,,
khuyentran1401/Python-data-science-code-snippet,https://github.com/khuyentran1401/Python-data-science-code-snippet,FALSE,2/21/2021 12:20,[],51,2,33,0,1,Jupyter Notebook,2956,0,0,1,0,172,0,0,114,,,,,,,,,,,,,,,,
nodefluxio/vortex,https://github.com/nodefluxio/vortex,FALSE,6/19/2020 11:59,[],26,5,6,4,4,Python,17523,19,2,6,4,496,0,0,13,,,,,,,,,,,,,,,,
DAGsHub/fds,https://github.com/DagsHub/fds,FALSE,4/1/2021 5:43,"['dvc', 'git', 'data-science']",348,8,18,22,10,Python,226,14,7,9,23,268,0,0,0,,,,,,,,,,,,,,,,
CIA-Oceanix/4dvarnet-core,https://github.com/CIA-Oceanix/4dvarnet-core,FALSE,5/7/2021 9:05,[],8,3,5,1,6,Python,102711,5,5,19,4,477,0,0,0,,,,,,,,,,,,,,,,
AlexIoannides/data-science-and-ml-notebook,https://github.com/AlexIoannides/data-science-and-ml-notebook,FALSE,12/13/2020 22:40,"['mlflow', 'data-science', 'machine-learning', 'dagster', 'dvc', 'ibis', 'python', 'pytorch', 'spacy', 'sqlalchemy']",8,2,1,0,1,Jupyter Notebook,339,1,1,3,0,45,0,0,0,,,,,,,,,,,,,,,,
determined-ai/works-with-determined,https://github.com/determined-ai/works-with-determined,FALSE,6/26/2020 22:38,[],33,9,16,0,8,Python,21491,2,1,11,0,107,0,0,0,,,,,,,,,,,,,,,,
ChristophAlt/pytorch-lightning-hydra-cookiecutter,https://github.com/ChristophAlt/pytorch-lightning-hydra-cookiecutter,FALSE,8/20/2021 9:52,[],6,1,1,0,1,Python,82,0,0,1,0,9,0,0,0,,,,,,,,,,,,,,,,
jdvelasq/courses,https://github.com/jdvelasq/courses,FALSE,3/8/2021 16:55,"['analytics', 'data-science', 'big-data', 'big-data-analytics', 'training-materials']",6,2,6,0,2,,420829,13,1,1,0,164,0,0,160,,,,,,,,,,,,,,,,
ivanovitchm/mlops_nd_c3,https://github.com/ivanovitchm/mlops_nd_c3,FALSE,2/20/2022 12:34,"['mlops', 'machine-learning', 'census-bureau', 'data-science']",35,2,4,0,1,Jupyter Notebook,8389,0,0,1,0,104,0,0,9,,,,,,,,,,,,,,,,
graviraja/MLOps-Basics,https://github.com/graviraja/MLOps-Basics,FALSE,5/2/2021 10:35,[],3234,62,566,0,2,Jupyter Notebook,19615,4,1,16,2,116,0,0,0,,,,,,,,,,,,,,,,
mlrepa/dvc-2-iris-demo-project,https://github.com/mlrepa/dvc-2-iris-demo-project,FALSE,6/19/2019 18:13,[],13,3,3,0,1,Jupyter Notebook,73,4,4,5,0,5,0,0,0,,,,,,,,,,,,,,,,
styczynski/dvc-fs,https://github.com/styczynski/dvc-fs,FALSE,5/15/2021 20:45,"['dvc', 'python', 'python3', 'fs', 'pyfilesystem2']",1,1,0,0,1,Python,490,1,0,1,13,135,0,0,0,,,,,,,,,,,,,,,,
