Repo,Link,Archived,Creation Date,Topics,#Star,#Watch,#Fork,#Releases,#Contributors,Languages,Size,#Open Issues,#Pull Requests,#Branches,#Tags,#Commits,#Comments,#Downloads,#Deployments
PanJinquan/Human-Keypoints-Detection,https://github.com/PanJinquan/Human-Keypoints-Detection,FALSE,4/16/2021 11:12,[],48,1,12,0,1,Python,150338,2,0,2,0,11,0,0,0
skyhiter/torchtext-ignite-demo,https://github.com/skyhiter/torchtext-ignite-demo,FALSE,5/22/2019 7:34,[],5,0,2,0,1,Python,68445,0,0,1,0,11,0,0,0
bgoonz/UsefulResourceRepo2.0,https://github.com/bgoonz/UsefulResourceRepo2.0,FALSE,7/3/2021 13:58,"['javascript', 'python', 'learning', 'nodejs', 'expressjs', 'website', 'web', 'devops', 'development', 'tools', 'python-3']",5,3,11,0,1,,10239100,2,2,23,0,1113,575,0,60
squaresLab/SOAR,https://github.com/squaresLab/SOAR,FALSE,10/18/2020 22:44,[],7,2,4,0,1,Python,144413,0,0,2,0,8,0,0,0
CVMI-Lab/DARS,https://github.com/CVMI-Lab/DARS,FALSE,7/23/2021 12:16,[],51,5,4,0,1,Python,797,1,0,2,0,15,0,0,0
pytorch/ignite,https://github.com/pytorch/ignite,FALSE,11/23/2017 17:31,"['pytorch', 'neural-network', 'python', 'machine-learning', 'deep-learning', 'metrics', 'hacktoberfest']",4100,59,555,18,170,Python,50859,145,36,25,18,1481,16,0,1274
CVMI-Lab/KDEP,https://github.com/CVMI-Lab/KDEP,FALSE,3/6/2022 9:24,[],50,2,7,0,1,Python,8151,1,0,2,0,15,0,0,0
polyaxon/cli,https://github.com/polyaxon/cli,FALSE,8/18/2017 13:25,"['mlops', 'workflows', 'machine-learning', 'deep-learning', 'hyperparameter-optimization', 'tensorflow', 'pytorch', 'kubernetes', 'scikit-learn', 'dataops', 'data-science', 'ml']",17,3,19,0,10,Python,2142,0,0,1,0,719,1,0,0
fbuchert/fixmatch-pytorch,https://github.com/fbuchert/fixmatch-pytorch,FALSE,6/26/2021 15:36,"['machine-learning', 'deep-learning', 'computer-vision', 'semi-supervised-learning', 'image-classification']",4,1,0,0,1,Python,52,1,0,1,0,11,0,0,0
granularai/fabric,https://github.com/granularai/fabric,FALSE,11/2/2018 10:03,"['change-detection', 'sentinel-2', 'satellite-imagery', 'deep-learning', 'cnn', 'unet', 'pytorch', 'unet-3d']",53,7,14,2,2,Python,204192,2,0,7,2,330,0,0,0
SunJackson/SunJackson.github.io,https://github.com/SunJackson/SunJackson.github.io,FALSE,7/23/2018 8:46,"['blog', 'page']",12,1,6,0,2,JavaScript,50116,1,1,1,0,537,0,0,205
brunowego/cookbooks,https://github.com/brunowego/cookbooks,FALSE,11/8/2018 13:20,[],49,9,17,0,3,Go,13147,1,1,3,0,365,0,0,0
johndpope/CryptoCurrencyTrader,https://github.com/johndpope/CryptoCurrencyTrader,FALSE,7/28/2017 11:31,[],50,7,114,0,3,Python,1283,1,1,4,0,63,1,0,0
polyaxon/polyaxon-examples,https://github.com/polyaxon/polyaxon-examples,FALSE,1/12/2018 18:13,"['tensorflow', 'pytorch', 'mxnet', 'jupyter-notebook', 'deep-learning', 'polyaxon', 'kubernetes', 'machine-learning', 'deeplearning', 'nerual-network', 'horovod', 'scikit-learn', 'mpi', 'tfjob', 'kubeflow', 'pytorchjob', 'mpijob', 'keras', 'mlops']",65,5,24,0,9,Python,939,5,5,7,0,126,0,0,0
hvdthong/RepoExtractor,https://github.com/hvdthong/RepoExtractor,FALSE,8/5/2018 9:01,[],15,4,9,0,1,Python,34371,2,0,1,0,12,0,0,0
polyaxon/haupt,https://github.com/polyaxon/haupt,FALSE,12/14/2018 15:47,"['s3', 'aws', 'gcs', 'gcp', 'sagemaker', 'tensorboard', 'notebook', 'jupyterlab', 'kaniko', 'automations', 'actions', 'sandbox']",30,2,4,0,1,Python,378,0,0,1,0,31,0,0,0
SandraPrestel/deep-sleep-transfer,https://github.com/SandraPrestel/deep-sleep-transfer,FALSE,7/21/2020 14:10,[],15,2,6,0,1,Jupyter Notebook,243906,0,0,1,0,17,0,0,0
ZhuFengdaaa/SOON,https://github.com/ZhuFengdaaa/SOON,FALSE,4/9/2021 15:44,[],9,1,0,0,1,C++,4762,4,0,2,0,6,0,0,0
