Name,Projects,Examplars
Aim,[],[]
Amazon SageMaker,[],"['juliensimon/amazon-studio-demos', 'juliensimon/huggingface-demos']"
ClearML,[],[]
Codalab,[],[]
Comet,[],[]
D6tflow,[],"['jan-teichmann/ml-flow-ds-project', 'juliensimon/huggingface-demos']"
Deep Lake,[],[]
Determined,[],[]
DVC,['mlrep/mldev'],[]
Guild AI,[],[]
Keepsake,[],[]
LakeFS,[],[]
MLflow,['librespacefoundation/polaris/polaris'],"['juliensimon/huggingface-demos', 'jan-teichmann/ml-flow-ds-project']"
ModelDB,[],[]
Neptune,[],[]
Pachyderm,[],[]
Polyaxon,[],[]
Quilt,[],[]
Sacred,[],[]
Spell,[],[]
Weights & Biases,[],[]
