Repo,Link,Archived,Creation Date,Topics,#Star,#Watch,#Fork,#Releases,#Contributors,Languages,Size,#Open Issues,#Pull Requests,#Branches,#Tags,#Commits,#Comments,#Downloads,#Deployments
Darshansol9/News_Articles_Sentiment_Analysis,https://github.com/Darshansol9/News_Articles_Sentiment_Analysis,FALSE,11/16/2019 1:25,[],8,3,2,0,4,,192467,0,0,3,0,56,0,0,0
Damowerko/opf,https://github.com/Damowerko/opf,FALSE,10/20/2019 16:39,[],6,1,6,0,1,Jupyter Notebook,50327,1,0,2,0,93,0,0,0
jackyko1991/Medical-Image-Classifier,https://github.com/jackyko1991/Medical-Image-Classifier,FALSE,10/9/2019 3:09,[],6,2,1,0,1,Python,319,0,0,1,0,71,0,0,0
Kruhlmann/classicdb_bot,https://github.com/Kruhlmann/classicdb_bot,FALSE,2/14/2019 16:09,"['nodejs', 'discord', 'typescript', 'world-of-warcraft-classic', 'wow-classic', 'world-of-warcraft', 'discord-bot', 'bot']",12,2,6,3,4,HTML,12247,1,1,3,3,434,0,0,0
KhoomeiK/MindMapResearch,https://github.com/KhoomeiK/MindMapResearch,FALSE,1/9/2020 1:14,[],8,4,2,0,3,Jupyter Notebook,586259,0,0,2,0,56,0,0,0
clear-nus/VT_SNN,https://github.com/clear-nus/VT_SNN,FALSE,7/9/2020 5:36,"['event-driven', 'robotics', 'classification', 'slippagedetection']",14,3,8,0,2,Python,496775,0,0,8,0,161,0,0,0
Charlotte-Kosche-Thesis/patreon-scraper,https://github.com/Charlotte-Kosche-Thesis/patreon-scraper,FALSE,5/30/2018 22:38,[],11,4,13,0,1,,297795,0,0,1,0,18,0,0,0
jukiewiczm/kaggle-predict-future-sales,https://github.com/jukiewiczm/kaggle-predict-future-sales,FALSE,9/15/2019 20:54,"['pytorch', 'rnn-pytorch', 'rnn', 'embeddings', 'machine-learning', 'kaggle-competition', 'gensim', 'scala', 'spark']",30,0,14,0,1,HTML,1140,0,0,1,0,36,0,0,0
ddysher/arsenal,https://github.com/ddysher/arsenal,FALSE,2/10/2019 13:52,"['cloud', 'machine-learning', 'notes']",26,4,8,0,1,Jsonnet,50689,4,4,5,0,2,0,0,0
gar1t/tensorflow-workshop,https://github.com/gar1t/tensorflow-workshop,FALSE,5/17/2018 12:25,[],7,3,2,0,0,Python,1283,5,0,1,0,31,0,0,0
langsci/144,https://github.com/langsci/144,FALSE,10/30/2017 22:24,[],5,5,2,1,1,TeX,38417,16,0,2,1,94,0,0,5
DLR-SC/repository-synergy,https://github.com/DLR-SC/repository-synergy,FALSE,5/8/2021 7:51,[],5,6,6,0,1,Jupyter Notebook,103486,1,0,1,0,8,0,0,0
deepopinion/greedy-layer-pruning,https://github.com/deepopinion/greedy-layer-pruning,FALSE,5/18/2021 8:43,[],5,6,4,0,1,Python,64,0,0,1,0,7,0,0,0
wrkzcoin/TipBot,https://github.com/wrkzcoin/TipBot,FALSE,3/16/2019 2:25,"['discord', 'tipbot', 'cryptonote', 'bitcoin', 'telegram', 'bot', 'wrkzcoin', 'cryptocurrency', 'dogecoin', 'monero', 'decentralized']",55,8,32,4,4,Python,9195,3,0,3,4,937,16,0,0
nextml-code/template-nvae,https://github.com/nextml-code/template-nvae,FALSE,8/27/2020 13:06,"['nvae', 'pytorch', 'generative-model']",16,4,1,0,1,Python,7568,3,2,4,0,42,0,0,0
