Repo,Link,Archived,Creation Date,Topics,#Star,#Watch,#Fork,#Releases,#Contributors,Languages,Size,#Open Issues,#Pull Requests,#Branches,#Tags,#Commits,#Comments,#Downloads,#Deployments
ermongroup/pirank,https://github.com/ermongroup/pirank,FALSE,10/4/2019 18:33,[],52,8,6,0,1,Python,43,3,2,4,0,4,0,0,0
varun19299/deep-atrous-guided-filter,https://github.com/varun19299/deep-atrous-guided-filter,FALSE,6/15/2020 3:29,"['computer-vision', 'image-restoration', 'eccv2020', 'paper']",32,4,6,0,2,Jupyter Notebook,35605,0,0,3,0,83,0,0,18
Adobee/ACS,https://github.com/Adobee/ACS,FALSE,8/27/2016 7:06,[],21,6,19,0,5,,141162,0,0,1,0,93,0,0,0
ocetintas/MPNTrackSeg,https://github.com/ocetintas/MPNTrackSeg,FALSE,7/1/2022 12:18,"['multi-object-tracking', 'neural-message-passing', 'segmentation', 'graph-neural-networks']",6,1,2,0,1,Python,1569,0,0,1,0,9,0,0,0
adrienycart/PEAMT,https://github.com/adrienycart/PEAMT,FALSE,3/5/2020 12:35,[],5,1,0,0,2,Python,70,1,1,2,0,43,0,0,0
dvl-tum/e-osvos,https://github.com/dvl-tum/e-osvos,FALSE,10/14/2020 15:08,"['pytorch', 'video-object-segmentation', 'meta-learning']",33,5,5,0,4,Python,12837,2,0,1,0,163,0,0,0
schroederdewitt/mackrl,https://github.com/schroederdewitt/mackrl,FALSE,10/27/2019 17:34,[],28,2,6,0,1,Python,2042,1,0,1,0,4,0,0,0
rpSebastian/AutoCFR,https://github.com/rpSebastian/AutoCFR,FALSE,9/11/2021 3:12,[],5,1,0,0,1,Python,65617,0,0,1,0,38,0,0,0
chrislybaer/Powerset-CNN,https://github.com/chrislybaer/Powerset-CNN,FALSE,9/26/2019 9:13,[],9,1,2,0,1,Python,7083,0,0,1,0,12,0,0,0
chaovven/SMIX,https://github.com/chaovven/SMIX,FALSE,11/16/2019 10:49,"['pytorch', 'multi-agent-reinforcement-learning', 'smix', 'reinforcement-learning', 'starcraft', 'aaai']",15,1,5,0,6,Python,779,7,7,8,0,35,0,0,0
AutoDrivingBook/autopilot_experiment,https://github.com/AutoDrivingBook/autopilot_experiment,FALSE,11/17/2019 14:22,[],21,1,17,0,2,C++,718592,0,0,1,0,6,0,0,0
kakao/DAFT,https://github.com/kakao/DAFT,FALSE,10/1/2019 5:09,[],31,9,6,0,1,Python,795,0,0,1,0,5,0,0,0
alexsax/midlevel-reps,https://github.com/alexsax/midlevel-reps,FALSE,4/22/2019 2:21,[],98,9,17,2,3,Python,164960,3,1,5,5,19,0,0,0
yandun72/WBDC_2022_RANK16,https://github.com/yandun72/WBDC_2022_RANK16,FALSE,8/19/2022 4:18,[],14,1,4,0,1,Python,5031,2,0,2,0,16,0,0,0
dfdazac/monet,https://github.com/dfdazac/monet,FALSE,7/18/2019 15:22,"['deep-learning', 'pytorch', 'representation-learning', 'unsupervised-learning']",10,2,0,0,1,Jupyter Notebook,11007,0,0,1,0,55,0,0,0
sandialabs/bcnn,https://github.com/sandialabs/bcnn,FALSE,11/15/2019 18:18,[],48,7,15,1,2,Python,744,3,1,2,1,26,0,0,0
oxcsaml2019/multitask-learning,https://github.com/oxcsaml2019/multitask-learning,FALSE,4/15/2019 9:13,[],15,3,4,0,0,Jupyter Notebook,9558,1,0,1,0,3,0,0,0
kkoutini/PaSST,https://github.com/kkoutini/PaSST,FALSE,10/6/2021 16:30,"['pytorch', 'audio-classification', 'audio-tagging', 'transformer', 'machine-learning', 'pattern-recognition']",152,3,29,6,2,Python,564,13,0,1,7,36,0,0,0
