Repo,Link,Archived,Creation Date,Topics,#Star,#Watch,#Fork,#Releases,#Contributors,Languages,Size,#Open Issues,#Pull Requests,#Branches,#Tags,#Commits,#Comments,#Downloads,#Deployments,,,,,,,,,,,
slyautomation/osrs_yolov5,https://github.com/slyautomation/osrs_yolov5,FALSE,11/15/2021 4:31,"['cuda', 'pytorch', 'yolov5', 'python', 'pycharm', 'osrs', 'runescape', 'botting', 'machine-learning', 'mlbot']",7,1,4,0,1,Python,82200,2,0,1,0,177,0,0,0,,,,,,,,,,,
facebookresearch/OnlineAttacks,https://github.com/facebookresearch/OnlineAttacks,FALSE,2/25/2021 23:43,[],12,5,4,0,1,Python,507,0,0,1,0,1,0,0,0,,,,,,,,,,,
openclimatefix/skillful_nowcasting,https://github.com/openclimatefix/skillful_nowcasting,FALSE,9/2/2021 11:18,"['nowcasting', 'nowcasting-models', 'nowcasting-precipitation', 'gan', 'pytorch-implementation', 'pytorch', 'pytorch-lightning']",112,6,33,40,5,Python,205,8,0,7,42,224,0,0,0,,,,,,,,,,,
ws-choi/Conditioned-Source-Separation-LaSAFT,https://github.com/ws-choi/Conditioned-Source-Separation-LaSAFT,FALSE,10/22/2020 10:34,"['source-separation', 'pytorch', 'pytorch-lightning', 'musdb18']",72,5,20,1,4,Jupyter Notebook,208495,9,1,6,1,101,0,0,4,,,,,,,,,,,
sachinruk/blog,https://github.com/sachinruk/blog,FALSE,11/28/2020 11:35,[],20,2,2,0,2,Jupyter Notebook,41618,7,1,3,0,102,0,0,87,,,,,,,,,,,
kzl/lifelong_rl,https://github.com/kzl/lifelong_rl,FALSE,9/17/2020 23:24,[],75,5,8,0,1,Python,127,1,0,1,0,5,0,0,0,,,,,,,,,,,
tristandeleu/jax-meta-learning,https://github.com/tristandeleu/jax-meta-learning,FALSE,3/31/2021 17:16,[],17,3,3,0,2,Python,32,2,1,2,0,18,0,0,0,,,,,,,,,,,
ylsung/Ladder-Side-Tuning,https://github.com/ylsung/Ladder-Side-Tuning,FALSE,5/26/2022 2:36,[],78,2,5,0,1,Python,2631,2,1,2,0,8,0,0,0,,,,,,,,,,,
HeliosZhao/SHADE,https://github.com/HeliosZhao/SHADE,FALSE,7/11/2022 7:56,"['domain-generalization', 'eccv2022', 'pytorch', 'semantic-segmentation']",24,1,3,1,1,Python,12952,0,0,1,1,12,0,0,0,,,,,,,,,,,
thetna/medical_image_segmentation,https://github.com/thetna/medical_image_segmentation,FALSE,7/30/2021 12:43,[],6,1,2,0,3,Python,563,0,0,1,0,16,0,0,0,,,,,,,,,,,
hywang99/LCDPNet,https://github.com/hywang99/LCDPNet,FALSE,7/8/2022 15:43,"['computer-vision', 'deep-learning', 'eccv2022', 'exposure-correction', 'low-level-vision', 'pytorch', 'low-light-enhance', 'low-light-image-enhancement', 'overexposure-correction']",20,1,3,0,2,Python,66,1,0,1,0,22,0,0,0,,,,,,,,,,,
pytorch/ignite,https://github.com/pytorch/ignite,FALSE,11/23/2017 17:31,"['pytorch', 'neural-network', 'python', 'machine-learning', 'deep-learning', 'metrics', 'hacktoberfest']",4099,59,555,18,170,Python,50859,145,36,25,18,1481,16,0,1274,,,,,,,,,,,
