Repo,Link,Archived,Creation Date,Topics,#Star,#Watch,#Fork,#Releases,#Contributors,Languages,Size,#Open Issues,#Pull Requests,#Branches,#Tags,#Commits,#Comments,#Downloads,#Deployments,
arunpa0206/mltrainingv1,https://github.com/arunpa0206/mltrainingv1,FALSE,8/24/2018 9:16,[],5,3,10,0,1,Jupyter Notebook,68147,29,29,29,0,34,0,0,0,
aws-samples/amazon-sagemaker-asynchronous-inference-computer-vision,https://github.com/aws-samples/amazon-sagemaker-asynchronous-inference-computer-vision,FALSE,9/14/2021 23:12,[],22,4,8,0,5,Jupyter Notebook,72080,1,0,2,0,12,0,0,0,
Bjarten/deep-learning-ND,https://github.com/Bjarten/deep-learning-ND,FALSE,10/15/2018 16:16,"['pytorch', 'transfer-learning', 'autoencoder', 'udacity', 'nanodegree', 'gan', 'face', 'generation', 'bikesharing', 'dcgan', 'deeplearning', 'dog', 'classification', 'style-transfer', 'lstm', 'deep-learning', 'rnn', 'cnn', 'deep', 'learning']",17,3,12,0,1,Jupyter Notebook,258156,0,0,1,0,304,0,0,0,
awslabs/or-rl-benchmarks,https://github.com/awslabs/or-rl-benchmarks,FALSE,5/24/2019 22:27,[],62,10,12,0,2,Python,104,0,0,1,0,17,0,0,0,
aws-samples/amazon-sagemaker-multiple-object-tracking,https://github.com/aws-samples/amazon-sagemaker-multiple-object-tracking,FALSE,10/27/2021 8:09,[],6,1,5,0,2,Python,7248,2,0,2,0,16,0,0,0,
aws-samples/tweet-classification,https://github.com/aws-samples/tweet-classification,FALSE,6/13/2022 13:36,[],6,4,3,0,2,Jupyter Notebook,207,0,0,1,0,4,0,0,0,
awslabs/aws-sagemaker-emr-tutorial,https://github.com/awslabs/aws-sagemaker-emr-tutorial,FALSE,5/9/2018 18:00,[],27,2,14,0,1,Jupyter Notebook,571981,0,0,1,0,16,0,0,0,
shashankprasanna/amer-summit-aug21-workshop,https://github.com/shashankprasanna/amer-summit-aug21-workshop,FALSE,8/16/2021 12:07,[],6,2,2,0,1,HTML,38029,0,0,1,0,10,0,0,0,
aws-samples/amazon-personalize-samples,https://github.com/aws-samples/amazon-personalize-samples,FALSE,11/23/2018 23:05,[],463,30,310,0,20,Jupyter Notebook,21461,25,3,9,0,350,1,0,0,
dancju/udacimak-repos,https://github.com/dancju/udacimak-repos,FALSE,4/26/2020 9:03,[],25,8,21,0,5,Shell,5133,1,0,1,0,20,0,0,0,
aws-samples/amazon-sagemaker-edge-manager-demo,https://github.com/aws-samples/amazon-sagemaker-edge-manager-demo,FALSE,4/3/2021 15:28,[],11,23,5,0,3,Python,52010,0,0,2,0,7,0,0,0,
aws-samples/algorithmic-trading,https://github.com/aws-samples/algorithmic-trading,FALSE,1/28/2020 0:35,[],146,11,59,0,4,Jupyter Notebook,2996,1,0,2,0,54,0,0,0,
chankh/donkeycar-sagemaker,https://github.com/chankh/donkeycar-sagemaker,FALSE,10/5/2018 10:37,"['sagemaker', 'donkey-car']",6,3,4,0,1,Go,1162,1,0,1,0,16,0,0,0,
A3Data/hermione,https://github.com/A3Data/hermione,FALSE,5/6/2020 13:51,"['python', 'machine-learning', 'data-science', 'hermione']",195,19,38,25,11,Jupyter Notebook,1778,8,8,16,25,238,0,0,0,
aws-samples/amazon-sagemaker-healthcare-fraud-detection,https://github.com/aws-samples/amazon-sagemaker-healthcare-fraud-detection,FALSE,8/7/2019 16:16,[],24,5,14,0,2,Jupyter Notebook,2194,3,2,2,0,15,0,0,0,
shashankprasanna/distributed-training-workshop,https://github.com/shashankprasanna/distributed-training-workshop,FALSE,10/11/2019 20:57,[],16,3,12,0,1,CSS,76222,2,1,1,0,39,0,0,0,
rthamman/reinvent-2019,https://github.com/rthamman/reinvent-2019,FALSE,11/22/2019 19:23,[],14,1,8,0,2,Jupyter Notebook,59,0,0,1,0,8,0,0,0,
stephenleo/sagemaker-deployment,https://github.com/stephenleo/sagemaker-deployment,FALSE,6/7/2022 10:57,[],10,2,3,0,1,Jupyter Notebook,4031,1,1,1,0,35,0,0,0,
aws-samples/amazon-textract-and-comprehend-medical-document-processing,https://github.com/aws-samples/amazon-textract-and-comprehend-medical-document-processing,FALSE,2/22/2021 4:32,[],5,5,6,0,2,Jupyter Notebook,4920,1,0,1,0,2,0,0,0,
UVA-DSI/Open-Data-Lab,https://github.com/UVA-DSI/Open-Data-Lab,FALSE,8/1/2018 1:02,"['opendata', 'open-data', 'open-research', 'open-research-data', 'open-research-experiments', 'workflows', 'openscience', 'open-science', 'datascience', 'data-science', 'discoverability', 'fair-data', 'fair-principles', 'reproducibility', 'open-education', 'reference-data']",26,10,65,0,49,Jupyter Notebook,158119,27,0,1,0,584,0,0,0,
