Repo,Link,Archived,Creation Date,Description,Topics,#Star,#Watch,#Fork,#Releases,#Contributors,Languages,Size,#Open Issues,#Pull Requests,#Branches,#Tags,#Commits,#Comments,#Downloads,#Deployments
StefanieStoppel/pytorch-mlflow-optuna,https://github.com/StefanieStoppel/pytorch-mlflow-optuna,False,2020-06-20 09:54:14,Tutorial on training a PyTorch neural network model using MLflow for experiment tracking & Optuna for hyperparameter optimization.,"['mlflow', 'optuna', 'hyperparameter-optimization', 'machine-learning', 'pytorch']",18,3,1,0,1,Jupyter Notebook,163,1,1,3,0,25,0,0,0
mateuszbuda/duke-dbt-detection,https://github.com/mateuszbuda/duke-dbt-detection,False,2020-08-14 21:11:20,Baseline for Duke DBT detection dataset,[],12,2,7,0,1,Python,27,2,0,1,0,2,0,0,0
gcskoenig/rfi,https://github.com/gcskoenig/rfi,False,2020-07-23 09:32:35,Relative Feature Importance library in python.,[],6,3,0,0,3,Python,23367,6,0,26,0,385,2,0,0
XiaoXiao-Woo/PanCollection,https://github.com/XiaoXiao-Woo/PanCollection,False,2022-06-14 17:16:00,"""PanCollection"" for Remote Sensing Pansharpening",[],12,1,0,0,2,Python,1180,0,0,2,0,53,0,0,0
ANSHUMAN87/Bias-Correction,https://github.com/ANSHUMAN87/Bias-Correction,False,2019-09-15 20:44:02,Bias-Correction,[],8,3,2,0,1,Shell,395,0,0,1,0,8,0,0,0
deepset-ai/haystack,https://github.com/deepset-ai/haystack,False,2019-11-14 09:05:28,":mag: Haystack is an open source NLP framework that leverages pre-trained Transformer models. It enables developers to quickly implement production-ready semantic search, question answering, summarization and document ranking for a wide range of NLP applications.","['nlp', 'question-answering', 'bert', 'transfer-learning', 'language-model', 'pytorch', 'semantic-search', 'neural-search', 'squad', 'elasticsearch', 'dpr', 'information-retrieval', 'summarization', 'search-engine', 'transformers', 'natural-language-processing', 'machine-learning', 'ai', 'python']",5946,88,920,25,148,Python,33033,297,37,98,31,1611,25,0,0
microsoft/LoRA,https://github.com/microsoft/LoRA,False,2021-06-18 02:16:35,"Code for loralib, an implementation of ""LoRA: Low-Rank Adaptation of Large Language Models""","['gpt-2', 'adaptation', 'language-model', 'gpt-3', 'low-rank', 'pytorch', 'deep-learning', 'roberta', 'deberta']",325,10,35,4,5,Python,32576,14,9,13,4,19,0,0,0
ggjy/DeFeat.pytorch,https://github.com/ggjy/DeFeat.pytorch,False,2021-03-26 12:44:05,,[],98,5,10,0,1,Python,15614,10,0,1,0,10,0,0,0
kelvins/docker-images,https://github.com/kelvins/docker-images,False,2021-06-03 00:31:37,:whale: Docker images repository,"['mlflow', 'docker']",5,2,0,0,1,Dockerfile,30,0,0,1,7,27,0,0,0
arangoml/arangopipe,https://github.com/arangoml/arangopipe,False,2019-04-23 14:55:22,ArangoML Pipeline is a common and extensible Metadata Layer for Machine Learning Pipelines based on ArangoDB.,[],114,10,12,6,10,JavaScript,38775,45,31,83,6,374,2,0,0
