Repo,Link,Archived,Creation Date,Description,Topics,#Star,#Watch,#Fork,#Releases,#Contributors,Languages,Size,#Open Issues,#Pull Requests,#Branches,#Tags,#Commits,#Comments,#Downloads,#Deployments
opendevstack/ods-project-quickstarters,https://github.com/opendevstack/ods-project-quickstarters,False,2018-07-27 11:53:52,"CAUTION! This repo is DEPRECATED. For ODS 2+, please see ods-quickstarters repository.","['reactjs', 'nodejs', 'spring-boot', 'rshiny', 'python', 'jenkins-slave', 'scala', 'rundeck']",10,35,20,0,26,Shell,6792,1,1,8,8,541,0,0,0
crplab/cdst,https://github.com/crplab/cdst,False,2019-10-21 09:36:51,":cookie: Cookiecutter template. A logical, reasonably standardized, but flexible project structure for doing and sharing data science work!","['cookiecutter-template', 'python3', 'data-science-projects']",6,4,1,0,1,Python,62,0,0,1,0,12,0,0,12
khuyentran1401/Python-data-science-code-snippet,https://github.com/khuyentran1401/Python-data-science-code-snippet,False,2021-02-21 12:20:20,Useful data science and Python code snippets at Data Science Simplified,[],51,2,33,0,1,Jupyter Notebook,2956,0,0,1,0,172,0,0,114
nodefluxio/vortex,https://github.com/nodefluxio/vortex,False,2020-06-19 11:59:28,A Deep Learning Model Development Framework for Computer Vision,[],26,5,6,4,4,Python,17523,19,2,6,4,496,0,0,13
DAGsHub/fds,https://github.com/DagsHub/fds,False,2021-04-01 05:43:43,"Fast Data Science, AKA fds, is a CLI for Data Scientists to version control data and code at once, by conveniently wrapping git and dvc","['dvc', 'git', 'data-science']",348,8,18,22,10,Python,226,14,7,9,23,268,0,0,0
CIA-Oceanix/4dvarnet-core,https://github.com/CIA-Oceanix/4dvarnet-core,False,2021-05-07 09:05:17,Core implementation of the 4DVarNet architecture ,[],8,3,5,1,6,Python,102711,5,5,19,4,477,0,0,0
AlexIoannides/data-science-and-ml-notebook,https://github.com/AlexIoannides/data-science-and-ml-notebook,False,2020-12-13 22:40:19,"Data science, data engineering and machine learning experiments, PoCs and code snippets","['mlflow', 'data-science', 'machine-learning', 'dagster', 'dvc', 'ibis', 'python', 'pytorch', 'spacy', 'sqlalchemy']",8,2,1,0,1,Jupyter Notebook,339,1,1,3,0,45,0,0,0
determined-ai/works-with-determined,https://github.com/determined-ai/works-with-determined,False,2020-06-26 22:38:06,This repository contains example integrations between Determined and other ML products,[],33,9,16,0,8,Python,21491,2,1,11,0,107,0,0,0
ChristophAlt/pytorch-lightning-hydra-cookiecutter,https://github.com/ChristophAlt/pytorch-lightning-hydra-cookiecutter,False,2021-08-20 09:52:18,Pytorch Lightning Hydra Best Practices Cookiecutter,[],6,1,1,0,1,Python,82,0,0,1,0,9,0,0,0
jdvelasq/courses,https://github.com/jdvelasq/courses,False,2021-03-08 16:55:56,"Material de apoyo para los cursos de la Especialización en Analítica, Facultad de Minas, Universidad Nacional de Colombia","['analytics', 'data-science', 'big-data', 'big-data-analytics', 'training-materials']",6,2,6,0,2,,420829,13,1,1,0,164,0,0,160
