Repo,Link,Archived,Creation Date,Description,Topics,#Star,#Watch,#Fork,#Releases,#Contributors,Languages,Size,#Open Issues,#Pull Requests,#Branches,#Tags,#Commits,#Comments,#Downloads,#Deployments
leokarlin/LaSO,https://github.com/leokarlin/LaSO,False,2019-04-01 14:33:33,LaSO: Label-Set Operations networks for multi-label few-shot learning - official implementation,[],75,6,13,0,2,Python,311,3,1,2,0,69,0,0,0
al102964/ml-deployment,https://github.com/al102964/ml-deployment,False,2020-01-28 13:27:07,Repo for post,[],5,3,1,0,1,Jupyter Notebook,9,2,2,3,0,6,0,0,0
mlrepa/mlpanel,https://github.com/mlrepa/mlpanel,False,2020-01-22 20:31:44,ML Project control panel ,[],9,5,0,2,2,Python,91,9,9,13,2,10,0,0,0
particle1331/inefficient-networks,https://github.com/particle1331/fitter-happier-models,False,2021-03-21 19:55:37,Self-contained notebooks on machine learning engineering and operations. ❚,"['machine-learning', 'deep-learning', 'tensorflow2', 'fastapi', 'jupyterbook']",21,0,5,0,1,Makefile,672520,0,0,4,0,1947,0,0,1031
microsoft/MLOpsTemplate,https://github.com/microsoft/MLOpsTemplate,False,2022-02-03 20:38:51,Providing tools and templates to facilitate modern MLOps practices,"['mlops', 'active-learning']",41,2,131,0,9,Jupyter Notebook,25825,2,0,13,0,1158,1,0,0
splunk/splunk-mltk-container-docker,https://github.com/splunk/splunk-mltk-container-docker,False,2019-09-27 13:34:36,Deep Learning Toolkit for Splunk,[],23,18,20,0,2,Jupyter Notebook,1428,3,2,12,0,72,0,0,0
deepyaman/kedro-streaming,https://github.com/deepyaman/kedro-streaming,False,2021-02-25 09:54:40,,[],8,2,0,0,2,Python,68000,9,0,5,0,23,0,0,0
mlf-core/mlf-core,https://github.com/mlf-core/mlf-core,False,2020-08-01 07:43:43,CPU and GPU deterministic and therefore fully reproducible machine learning pipelines using MLflow.,"['mlflow', 'template', 'machinelearning', 'artificialintelligence', 'reproducible', 'deterministic', 'gpu', 'hacktoberfest']",35,2,2,32,6,Python,26173,29,14,24,32,1050,3,0,0
retkowsky/Cloud_Workshop_AzureDatabricks,https://github.com/retkowsky/Cloud_Workshop_AzureDatabricks,False,2019-03-19 11:44:59,Cloud Workshop Azure Databricks,"['azure', 'databricks', 'databricks-notebooks']",5,2,3,0,1,Jupyter Notebook,41064,0,0,1,0,103,0,0,0
thevasudevgupta/transformers-adapters,https://github.com/thevasudevgupta/transformers-adapters,False,2021-03-20 12:18:03,"This repositary hosts my experiments for the project, I did with OffNote Labs.","['pretrained-models', 'transformers', 'huggingface', 'indian-languages', 'translation-task', 'adapters']",9,2,3,0,1,Python,3023,1,0,1,0,9,0,0,0
aiaudit-org/raw2logit,https://github.com/aiaudit-org/raw2logit,False,2021-08-26 09:17:29,"In order to control processing-induced dataset drift we require two ingredients: raw sensor data and an image processing model. This code repository contains the materials for the second ingredient, the image processing models, as well as scripts to load lada and run experiments.","['distribution', 'shift', 'drift', 'camera', 'optics', 'machine-learning', 'deep-learning', 'deep-neural-networks', 'robustness', 'pytorch']",7,1,2,0,2,Python,19109,3,0,2,0,87,0,0,0
dbczumar/mlflow-keras-ffnn-mnist,https://github.com/dbczumar/mlflow-keras-ffnn-mnist,False,2019-03-26 18:26:08,MLproject for training a feed-forward neural network on MNIST in Keras,[],6,1,6,0,1,Python,11,0,0,1,0,28,0,0,0
facultyai/faculty-distributed,https://github.com/facultyai/faculty-distributed,False,2019-05-10 10:22:58,Distributed execution on Faculty platform,"['distributed-computing', 'faculty-platform', 'python']",5,8,0,0,4,Jupyter Notebook,44,2,1,2,0,46,0,0,0
cogment/cogment-verse,https://github.com/cogment/cogment-verse,False,2021-09-15 20:44:04,"Library of Environments, Human Actor UIs and Agent implementation for Human In the Loop Learning & Reinforcement Learning","['reinforcement-learning', 'human-in-the-loop-learning', 'cogment']",27,6,8,0,7,Python,10105,43,5,20,0,34,0,0,0
AutoViML/deep_autoviml,https://github.com/AutoViML/deep_autoviml,False,2021-05-08 18:41:25,Build tensorflow keras model pipelines in a single line of code. Now with mlflow tracking. Created by Ram Seshadri. Collaborators welcome. Permission granted upon request.,"['tensorflow', 'keras', 'automl', 'autokeras', 'pycaret', 'tpot', 'mljar', 'gcp', 'mlflow', 'deep-learning', 'machine-learning', 'python', 'tensorflow2', 'data-science']",99,6,31,0,3,Python,21858,5,1,1,0,133,0,0,0
TheShadow29/VidSitu,https://github.com/TheShadow29/VidSitu,False,2021-02-10 10:28:34,[CVPR21] Visual Semantic Role Labeling for Video Understanding (https://arxiv.org/abs/2104.00990),"['vision', 'vision-and-language', 'grounding', 'nlp', 'video', 'video-language', 'event-relations', 'semantic-roles', 'srl', 'captioning-videos', 'captioning']",42,2,6,0,1,Python,950,5,0,5,0,57,0,0,0
jfzhuang/IFR,https://github.com/jfzhuang/IFR,False,2021-11-22 07:53:14,[CVPR'22] Semi-Supervised Video Semantic Segmentation with Inter-Frame Feature Reconstruction,"['cvpr2022', 'semantic-segmentation', 'semi-supervised-learning', 'semi-supervised-segmentation']",14,1,2,0,1,Python,20650,1,1,1,0,16,0,0,0
jan21deepak/ANZBootcamp,https://github.com/jan21deepak/ANZBootcamp,False,2021-04-13 05:15:33,,[],5,1,16,0,4,Python,156,0,0,4,0,25,0,0,0
databricks/tech-talks,https://github.com/databricks/tech-talks,False,2020-04-03 21:32:14,This repository contains the notebooks and presentations we use for our Databricks Tech Talks ,[],574,87,374,0,25,HTML,136096,6,0,3,0,319,1,0,0
