Repo,Link,Archived,Creation Date,Description,Topics,#Star,#Watch,#Fork,#Releases,#Contributors,Languages,Size,#Open Issues,#Pull Requests,#Branches,#Tags,#Commits,#Comments,#Downloads,#Deployments
ermongroup/pirank,https://github.com/ermongroup/pirank,False,2019-10-04 18:33:26,PiRank: Learning to Rank via Differentiable Sorting,[],52,8,6,0,1,Python,43,3,2,4,0,4,0,0,0
varun19299/deep-atrous-guided-filter,https://github.com/varun19299/deep-atrous-guided-filter,False,2020-06-15 03:29:38,"Deep Atrous Guided Filter for Image Restoration in Under Display Cameras (UDC Challenge, ECCV 2020).","['computer-vision', 'image-restoration', 'eccv2020', 'paper']",32,4,6,0,2,Jupyter Notebook,35605,0,0,3,0,83,0,0,18
Adobee/ACS,https://github.com/Adobee/ACS,False,2016-08-27 07:06:15,Accurate Condition Synthesis,[],21,6,19,0,5,,141162,0,0,1,0,93,0,0,0
ocetintas/MPNTrackSeg,https://github.com/ocetintas/MPNTrackSeg,False,2022-07-01 12:18:36,"""Multi-Object Tracking and Segmentation via Neural Message Passing"" (IJCV 2022) - Official Implementation","['multi-object-tracking', 'neural-message-passing', 'segmentation', 'graph-neural-networks']",6,1,2,0,1,Python,1569,0,0,1,0,9,0,0,0
adrienycart/PEAMT,https://github.com/adrienycart/PEAMT,False,2020-03-05 12:35:56,Percetual Evaluation for Automatic Music Transcription,[],5,1,0,0,2,Python,70,1,1,2,0,43,0,0,0
dvl-tum/e-osvos,https://github.com/dvl-tum/e-osvos,False,2020-10-14 15:08:22,"Implementation of ""Make One-Shot Video Object Segmentation Efficient Again” and the semi-supervised fine-tuning ""e-OSVOS"" approach (NeurIPS 2020).","['pytorch', 'video-object-segmentation', 'meta-learning']",33,5,5,0,4,Python,12837,2,0,1,0,163,0,0,0
schroederdewitt/mackrl,https://github.com/schroederdewitt/mackrl,False,2019-10-27 17:34:47,Code for Multi-Agent Common Knowledge Reinforcement Learning (NeurIPS 2019),[],28,2,6,0,1,Python,2042,1,0,1,0,4,0,0,0
rpSebastian/AutoCFR,https://github.com/rpSebastian/AutoCFR,False,2021-09-11 03:12:35,"Code for ""AutoCFR: Learning to Design Counterfatual Regret Minimization Algorithms"", AAAI 2022",[],5,1,0,0,1,Python,65617,0,0,1,0,38,0,0,0
chrislybaer/Powerset-CNN,https://github.com/chrislybaer/Powerset-CNN,False,2019-09-26 09:13:48,"Sample implementation accompanying the NeurIPS 2019 paper 'Powerset Convolutional Neural Networks' by Chris Wendler, Dan Alistarh, and Markus Püschel",[],9,1,2,0,1,Python,7083,0,0,1,0,12,0,0,0
chaovven/SMIX,https://github.com/chaovven/SMIX,False,2019-11-16 10:49:30,"Code for ""SMIX(λ): Enhancing Centralized Value Functions for Cooperative Multi-Agent Reinforcement Learning"" AAAI 2020","['pytorch', 'multi-agent-reinforcement-learning', 'smix', 'reinforcement-learning', 'starcraft', 'aaai']",15,1,5,0,6,Python,779,7,7,8,0,35,0,0,0
AutoDrivingBook/autopilot_experiment,https://github.com/AutoDrivingBook/autopilot_experiment,False,2019-11-17 14:22:44,,[],21,1,17,0,2,C++,718592,0,0,1,0,6,0,0,0
kakao/DAFT,https://github.com/kakao/DAFT,False,2019-10-01 05:09:09,"Code for the NeurIPS 2019 paper: ""Learning Dynamics of Attention: Human Prior for Interpretable Machine Reasoning""",[],31,9,6,0,1,Python,795,0,0,1,0,5,0,0,0
alexsax/midlevel-reps,https://github.com/alexsax/midlevel-reps,False,2019-04-22 02:21:07,Mid-Level Visual Representations Improve Generalization and Sample Efficiency for Learning Visuomotor Policies,[],98,9,17,2,3,Python,164960,3,1,5,5,19,0,0,0
yandun72/WBDC_2022_RANK16,https://github.com/yandun72/WBDC_2022_RANK16,False,2022-08-19 04:18:02,,[],14,1,4,0,1,Python,5031,2,0,2,0,16,0,0,0
dfdazac/monet,https://github.com/dfdazac/monet,False,2019-07-18 15:22:39,Object representation learning,"['deep-learning', 'pytorch', 'representation-learning', 'unsupervised-learning']",10,2,0,0,1,Jupyter Notebook,11007,0,0,1,0,55,0,0,0
sandialabs/bcnn,https://github.com/sandialabs/bcnn,False,2019-11-15 18:18:47,3D Bayesian Convolutional Neural Network (BCNN) for Credible Geometric Uncertainty. Code for the paper: https://arxiv.org/abs/1910.10793,[],48,7,15,1,2,Python,744,3,1,2,1,26,0,0,0
oxcsaml2019/multitask-learning,https://github.com/oxcsaml2019/multitask-learning,False,2019-04-15 09:13:33,,[],15,3,4,0,0,Jupyter Notebook,9558,1,0,1,0,3,0,0,0
kkoutini/PaSST,https://github.com/kkoutini/PaSST,False,2021-10-06 16:30:07,Efficient Training of Audio Transformers with Patchout,"['pytorch', 'audio-classification', 'audio-tagging', 'transformer', 'machine-learning', 'pattern-recognition']",152,3,29,6,2,Python,564,13,0,1,7,36,0,0,0
alceubissoto/deconstructing-bias-skin-lesion,https://github.com/alceubissoto/deconstructing-bias-skin-lesion,False,2019-04-03 16:07:34,,[],17,1,2,0,1,Python,483,0,0,1,0,8,0,0,0
ZJLAB-AMMI/Q-Net,https://github.com/ZJLAB-AMMI/Q-Net,False,2022-08-24 07:04:52,"Python codes to implement Q-Net, a meta-learning method for few shot medical image segmentation","['anomaly-detection', 'few-shot-learning', 'image-segmentation', 'meta-learning-algorithms', 'prototype']",7,1,1,0,2,Jupyter Notebook,111457,0,0,1,0,46,0,0,0
minhoolee/Synopsys-Project-2017,https://github.com/minhoolee/Synopsys-Project-2017,False,2016-12-20 19:32:15,A deep learning based bioinformatics project on epigenetics in Type 2 Diabetes.,"['deep-learning', 'bioinformatics', 'synopsys', 'genetics', 'keras', 'diabetes']",14,3,3,0,2,Jupyter Notebook,2806,3,3,4,0,65,0,0,0
solivr/tf-crnn,https://github.com/solivr/tf-crnn,False,2017-05-05 09:38:03,TensorFlow convolutional recurrent neural network (CRNN) for text recognition,"['tensorflow', 'crnn', 'htr', 'handwritten-text-recognition']",287,22,100,0,3,Python,1268,5,0,1,7,249,0,0,0
jongwook/onsets-and-frames,https://github.com/jongwook/onsets-and-frames,False,2018-12-05 09:42:21,A Pytorch implementation of Onsets and Frames (Hawthorne 2018),[],152,5,53,0,5,Python,707498,14,1,2,0,35,0,0,0
benfinkelshtein/SINGLE,https://github.com/benfinkelshtein/SINGLE,False,2020-11-05 17:18:06,Single-Node Attack For Fooling Graph Neural Networks,[],8,1,2,0,2,Python,588,0,0,1,0,20,0,0,0
EdwinYam/J-Net,https://github.com/EdwinYam/J-Net,False,2019-10-01 15:25:40,J-Net is aimed for audio separation with randomly weighted encoder.,[],10,2,0,0,1,Python,869,0,0,4,0,27,0,0,0
bilylee/SiamFC-TensorFlow,https://github.com/bilylee/SiamFC-TensorFlow,False,2017-11-29 15:12:43,A TensorFlow implementation of the SiamFC tracker,"['tensorflow', 'tracking', 'siamese-network', 'real-time', 'siamese-fc']",350,17,113,0,2,Python,3003,26,1,1,0,7,0,0,0
plai-group/covid,https://github.com/plai-group/covid,False,2020-03-20 23:47:50,Modelling epidemiological dynamics and performing inference in these models,[],26,7,2,0,5,Python,11412,0,0,3,0,162,0,0,0
